dataset_id,dataset_label,ep_size,experts_per_gpu,files_used,calibration_requests,evaluation_requests,source_policy,block_size,expert_placement,local_bytes_excluded,remote_bytes,network_mode,degree,per_gpu_bandwidth_tbps,per_link_bandwidth_gbps,routing,reconfigurations,completion_time_ms,max_link_load_bytes,message_count,improvement_over_en_ideal,improvement_over_son_ring,improvement_over_son_torus_ecmp,median_link_load_bytes,average_link_load_bytes,average_hop_count,max_hop_count,candidate_pool_size,selection_objective,candidate_index,reconfig_us_per_request,exposed_reconfiguration_time_ms
qwen_mmlu_ml,Qwen MMLU ML,32,4.0,112,12,100,block_by_token,16,block,734199808,45498368000,EN ECMP-imbalance 1.3x,,0.4,400,ideal_ECMP_times_1.3,0,408.08053145604174,1531904,1182714,-0.3000000000000724,-0.8778437177105713,-1.0272243625771473,,,,,,,,,
qwen_mmlu_ml,Qwen MMLU ML,32,4.0,112,12,100,block_by_token,16,block,734199808,45498368000,SON torus ECMP,4,1.6,400,equal_cost_shortest_path_split,0,201.300131840001,1810432,,0.3587290958029812,0.073687277848552,0.0,67477.24255319149,106008.99126967364,3.099432152477336,6,,,,,
qwen_mmlu_ml,Qwen MMLU ML,32,4.0,112,12,100,block_by_token,16,block,734199808,45498368000,RON calibrated,4,1.6,400,deterministic_shortest_path_on_selected_graph,1,167.6804096000024,1867776,,0.4658296201922672,0.22839346776233463,0.16701291714364347,79366.97191489361,110463.46627391751,2.584805716137957,5,22,minimize_calibration_aggregate_max_link_load,9,,
qwen_mmlu_ml,Qwen MMLU ML,32,4.0,112,12,100,block_by_token,16,block,734199808,45498368000,RON W=4 1us,4,1.6,400,deterministic_shortest_path_on_selected_graph,100,166.2411328,1458176,,0.47041464617556333,0.23501651563792833,0.1741628220485562,77726.61106382978,109025.63607757703,2.53756471024989,5,22,previous_4_requests_minimize_max_link_load,,1,0.1
qwen_mmlu_ml,Qwen MMLU ML,32,4.0,112,12,100,block_by_token,16,block,734199808,45498368000,RON oracle,4,1.6,400,deterministic_shortest_path_on_selected_graph,0,142.11973120000002,1286144,,0.5472568860347309,0.34601475977203494,0.2939908687543197,80522.13106382979,105513.66436153426,2.5042926342067493,4,22,true_current_request_minimize_max_link_load,,,0.0
qwen_livecode,Qwen LiveCodeBench,32,4.0,479,48,431,block_by_token,16,block,10098122752,624685072384,EN ECMP-imbalance 1.3x,,0.4,400,ideal_ECMP_times_1.3,0,2529.6412344332066,3309568,14559996,-0.3000000000009937,0.09467413406653641,-0.27772625259246786,,,,,,,,,
qwen_livecode,Qwen LiveCodeBench,32,4.0,479,48,431,block_by_token,16,block,10098122752,624685072384,SON torus ECMP,4,1.6,400,equal_cost_shortest_path_split,0,1979.799060480006,2306048,,-0.01743233134901398,0.2914555335334272,0.0,251354.769610505,341309.1374698549,3.096846221780953,6,,,,,
qwen_livecode,Qwen LiveCodeBench,32,4.0,479,48,431,block_by_token,16,block,10098122752,624685072384,RON calibrated,4,1.6,400,deterministic_shortest_path_on_selected_graph,1,1410.5151078400215,2277376,,0.2751266008658801,0.49519489402867023,0.28754632932392665,239089.61840351485,280301.6809490621,2.4721940742729793,4,22,minimize_calibration_aggregate_max_link_load,18,,
qwen_livecode,Qwen LiveCodeBench,32,4.0,479,48,431,block_by_token,16,block,10098122752,624685072384,RON W=4 1us,4,1.6,400,deterministic_shortest_path_on_selected_graph,431,1426.10311008,2293760,,0.26711581948069757,0.48961614972533296,0.279672801878066,239480.37320432442,282204.53388822544,2.4878193145399603,4,22,previous_4_requests_minimize_max_link_load,,1,0.431
qwen_livecode,Qwen LiveCodeBench,32,4.0,479,48,431,block_by_token,16,block,10098122752,624685072384,RON oracle,4,1.6,400,deterministic_shortest_path_on_selected_graph,0,1286.85801472,2531328,,0.3386748301040746,0.5394501676160262,0.3500057453264985,254163.30078491385,285276.8445926192,2.525627098239774,5,22,true_current_request_minimize_max_link_load,,,0.0
