dataset_id,dataset_label,ep_size,experts_per_gpu,files_used,calibration_requests,evaluation_requests,source_policy,block_size,expert_placement,local_bytes_excluded,remote_bytes,topology,connected,degree_values,routing,candidate_pool_size,candidate_index
qwen_mmlu_ml,Qwen MMLU ML,16,8.0,112,12,100,block_by_token,16,block,1465212928,44036341760,SON ring,True,"{""0"": 2, ""1"": 2, ""9"": 2, ""10"": 2, ""13"": 2, ""14"": 2, ""2"": 2, ""11"": 2, ""3"": 2, ""4"": 2, ""12"": 2, ""6"": 2, ""7"": 2, ""5"": 2, ""8"": 2, ""15"": 2}",deterministic,,
qwen_mmlu_ml,Qwen MMLU ML,16,8.0,112,12,100,block_by_token,16,block,1465212928,44036341760,SON torus deterministic,True,"{""3"": 4, ""7"": 4, ""12"": 4, ""13"": 4, ""8"": 4, ""9"": 4, ""2"": 4, ""14"": 4, ""4"": 4, ""5"": 4, ""6"": 4, ""15"": 4, ""11"": 4, ""0"": 4, ""1"": 4, ""10"": 4}",deterministic,,
qwen_mmlu_ml,Qwen MMLU ML,16,8.0,112,12,100,block_by_token,16,block,1465212928,44036341760,SON torus ECMP,True,"{""3"": 4, ""7"": 4, ""12"": 4, ""13"": 4, ""8"": 4, ""9"": 4, ""2"": 4, ""14"": 4, ""4"": 4, ""5"": 4, ""6"": 4, ""15"": 4, ""11"": 4, ""0"": 4, ""1"": 4, ""10"": 4}",ECMP,,
qwen_mmlu_ml,Qwen MMLU ML,16,8.0,112,12,100,block_by_token,16,block,1465212928,44036341760,RON candidate selected calibrated,True,"{""6"": 4, ""12"": 4, ""3"": 4, ""4"": 4, ""13"": 4, ""9"": 4, ""11"": 4, ""0"": 4, ""8"": 4, ""14"": 4, ""1"": 4, ""2"": 4, ""7"": 4, ""10"": 4, ""5"": 4, ""15"": 4}",,22,12
qwen_mmlu_ml,Qwen MMLU ML,32,4.0,112,12,100,block_by_token,16,block,734199808,45498368000,SON ring,True,"{""3"": 2, ""4"": 2, ""26"": 2, ""27"": 2, ""12"": 2, ""13"": 2, ""21"": 2, ""22"": 2, ""23"": 2, ""8"": 2, ""9"": 2, ""17"": 2, ""18"": 2, ""28"": 2, ""25"": 2, ""14"": 2, ""19"": 2, ""5"": 2, ""6"": 2, ""15"": 2, ""24"": 2, ""0"": 2, ""1"": 2, ""10"": 2, ""2"": 2, ""11"": 2, ""20"": 2, ""29"": 2, ""7"": 2, ""16"": 2, ""31"": 2, ""30"": 2}",deterministic,,
qwen_mmlu_ml,Qwen MMLU ML,32,4.0,112,12,100,block_by_token,16,block,734199808,45498368000,SON torus deterministic,True,"{""3"": 4, ""4"": 4, ""18"": 4, ""26"": 4, ""27"": 4, ""6"": 4, ""30"": 4, ""12"": 4, ""13"": 4, ""21"": 4, ""22"": 4, ""5"": 4, ""23"": 4, ""8"": 4, ""9"": 4, ""14"": 4, ""31"": 4, ""0"": 4, ""17"": 4, ""15"": 4, ""1"": 4, ""10"": 4, ""25"": 4, ""28"": 4, ""19"": 4, ""2"": 4, ""7"": 4, ""20"": 4, ""11"": 4, ""29"": 4, ""24"": 4, ""16"": 4}",deterministic,,
qwen_mmlu_ml,Qwen MMLU ML,32,4.0,112,12,100,block_by_token,16,block,734199808,45498368000,SON torus ECMP,True,"{""3"": 4, ""4"": 4, ""18"": 4, ""26"": 4, ""27"": 4, ""6"": 4, ""30"": 4, ""12"": 4, ""13"": 4, ""21"": 4, ""22"": 4, ""5"": 4, ""23"": 4, ""8"": 4, ""9"": 4, ""14"": 4, ""31"": 4, ""0"": 4, ""17"": 4, ""15"": 4, ""1"": 4, ""10"": 4, ""25"": 4, ""28"": 4, ""19"": 4, ""2"": 4, ""7"": 4, ""20"": 4, ""11"": 4, ""29"": 4, ""24"": 4, ""16"": 4}",ECMP,,
qwen_mmlu_ml,Qwen MMLU ML,32,4.0,112,12,100,block_by_token,16,block,734199808,45498368000,RON candidate selected calibrated,True,"{""7"": 4, ""17"": 4, ""6"": 4, ""15"": 4, ""1"": 4, ""31"": 4, ""20"": 4, ""26"": 4, ""16"": 4, ""29"": 4, ""3"": 4, ""23"": 4, ""28"": 4, ""9"": 4, ""14"": 4, ""8"": 4, ""18"": 4, ""11"": 4, ""22"": 4, ""12"": 4, ""21"": 4, ""10"": 4, ""25"": 4, ""0"": 4, ""24"": 4, ""30"": 4, ""13"": 4, ""27"": 4, ""5"": 4, ""4"": 4, ""19"": 4, ""2"": 4}",,22,9
qwen_mmlu_ml,Qwen MMLU ML,64,2.0,112,12,100,block_by_token,16,block,368410624,46229946368,SON ring,True,"{""3"": 2, ""4"": 2, ""58"": 2, ""59"": 2, ""26"": 2, ""27"": 2, ""35"": 2, ""36"": 2, ""44"": 2, ""45"": 2, ""12"": 2, ""13"": 2, ""21"": 2, ""22"": 2, ""23"": 2, ""31"": 2, ""32"": 2, ""8"": 2, ""9"": 2, ""40"": 2, ""41"": 2, ""49"": 2, ""50"": 2, ""0"": 2, ""63"": 2, ""17"": 2, ""18"": 2, ""28"": 2, ""25"": 2, ""37"": 2, ""14"": 2, ""46"": 2, ""54"": 2, ""55"": 2, ""56"": 2, ""33"": 2, ""42"": 2, ""51"": 2, ""19"": 2, ""5"": 2, ""60"": 2, ""6"": 2, ""52"": 2, ""61"": 2, ""47"": 2, ""15"": 2, ""24"": 2, ""1"": 2, ""10"": 2, ""2"": 2, ""11"": 2, ""20"": 2, ""29"": 2, ""38"": 2, ""7"": 2, ""16"": 2, ""48"": 2, ""57"": 2, ""34"": 2, ""43"": 2, ""30"": 2, ""62"": 2, ""53"": 2, ""39"": 2}",deterministic,,
qwen_mmlu_ml,Qwen MMLU ML,64,2.0,112,12,100,block_by_token,16,block,368410624,46229946368,SON torus deterministic,True,"{""41"": 4, ""49"": 4, ""18"": 4, ""26"": 4, ""44"": 4, ""45"": 4, ""8"": 4, ""9"": 4, ""14"": 4, ""22"": 4, ""40"": 4, ""17"": 4, ""15"": 4, ""23"": 4, ""32"": 4, ""39"": 4, ""42"": 4, ""19"": 4, ""47"": 4, ""55"": 4, ""50"": 4, ""10"": 4, ""0"": 4, ""7"": 4, ""38"": 4, ""46"": 4, ""48"": 4, ""56"": 4, ""16"": 4, ""24"": 4, ""43"": 4, ""12"": 4, ""20"": 4, ""30"": 4, ""57"": 4, ""13"": 4, ""21"": 4, ""53"": 4, ""63"": 4, ""51"": 4, ""59"": 4, ""54"": 4, ""31"": 4, ""27"": 4, ""52"": 4, ""28"": 4, ""60"": 4, ""25"": 4, ""61"": 4, ""33"": 4, ""34"": 4, ""29"": 4, ""58"": 4, ""35"": 4, ""62"": 4, ""5"": 4, ""1"": 4, ""36"": 4, ""6"": 4, ""37"": 4, ""2"": 4, ""3"": 4, ""11"": 4, ""4"": 4}",deterministic,,
