src,dst,bytes
0,1,5295797
0,2,2882667
0,3,1872347
0,4,1339742
0,5,1019177
0,6,808778
0,7,661975
0,8,554769
0,9,473671
0,10,410570
0,11,360333
0,12,319567
0,13,285946
0,14,257834
0,15,234043
1,0,9497366
1,2,1827769
1,3,1187171
1,4,849470
1,5,646214
1,6,512810
1,7,419728
1,8,351754
1,9,300333
1,10,260324
1,11,228471
1,12,202623
1,13,181306
1,14,163481
1,15,148396
2,0,8703610
2,1,3077191
2,3,1087951
2,4,778475
2,5,592206
2,6,469951
2,7,384649
2,8,322356
2,9,275232
2,10,238567
2,11,209376
2,12,185688
2,13,166153
2,14,149817
2,15,135994
3,0,8409355
3,1,2973156
3,2,1618381
3,4,752156
3,5,572184
3,6,454062
3,7,371644
3,8,311458
3,9,265927
3,10,230501
3,11,202298
3,12,179410
3,13,160535
3,14,144752
3,15,131396
4,0,8262102
4,1,2921094
4,2,1590042
4,3,1032763
4,5,562165
4,6,446112
4,7,365137
4,8,306004
4,9,261271
4,10,226465
4,11,198755
4,12,176269
4,13,157724
4,14,142218
4,15,129095
5,0,8175934
5,1,2890629
5,2,1573459
5,3,1021992
5,4,731278
5,6,441459
5,7,361329
5,8,302812
5,9,258546
5,10,224103
5,11,196682
5,12,174430
5,13,156079
5,14,140734
5,15,127749
6,0,8120349
6,1,2870977
6,2,1562762
6,3,1015044
6,4,726306
6,5,552520
6,7,358872
6,8,300754
6,9,256788
6,10,222580
6,11,195345
6,12,173245
6,13,155018
6,14,139778
6,15,126880
7,0,8082010
7,1,2857422
7,2,1555384
7,3,1010251
7,4,722877
7,5,549911
7,6,436388
7,8,299334
7,9,255576
7,10,221529
7,11,194423
7,12,172427
7,13,154286
7,14,139118
7,15,126281
8,0,8054241
8,1,2847604
8,2,1550039
8,3,1006780
8,4,720393
8,5,548022
8,6,434888
8,7,355951
8,9,254697
8,10,220768
8,11,193755
8,12,171834
8,13,153756
8,14,138640
8,15,125848
9,0,8033360
9,1,2840222
9,2,1546021
9,3,1004170
9,4,718526
9,5,546601
9,6,433761
9,7,355028
9,8,297532
9,10,220195
9,11,193253
9,12,171389
9,13,153358
9,14,138280
9,15,125521
10,0,8017189
10,1,2834504
10,2,1542909
10,3,1002149
10,4,717079
10,5,545501
10,6,432888
10,7,354313
10,8,296933
10,9,253526
10,11,192864
10,12,171044
10,13,153049
10,14,138002
10,15,125269
11,0,8004360
11,1,2829969
11,2,1540440
11,3,1000545
11,4,715932
11,5,544628
11,6,432195
11,7,353746
11,8,296458
11,9,253120
11,10,219400
11,12,170770
11,13,152804
11,14,137781
11,15,125068
12,0,7993980
12,1,2826299
12,2,1538442
12,3,999248
12,4,715003
12,5,543921
12,6,431634
12,7,353287
12,8,296073
12,9,252792
12,10,219116
12,11,192305
12,13,152606
12,14,137602
12,15,124906
13,0,7985440
13,1,2823279
13,2,1536799
13,3,998180
13,4,714239
13,5,543340
13,6,431173
13,7,352910
13,8,295757
13,9,252522
13,10,218882
13,11,192100
13,12,170366
13,14,137455
13,15,124772
14,0,7978313
14,1,2820760
14,2,1535427
14,3,997289
14,4,713602
14,5,542855
14,6,430788
14,7,352595
14,8,295493
14,9,252296
14,10,218687
14,11,191928
14,12,170214
14,13,152307
14,15,124661
15,0,7972292
15,1,2818631
15,2,1534268
15,3,996536
15,4,713063
15,5,542446
15,6,430463
15,7,352329
15,8,295270
15,9,252106
15,10,218521
15,11,191784
15,12,170086
15,13,152192
15,14,137229
