src,dst,bytes
0,1,43663
0,2,63879
0,3,729549
0,4,108091
0,5,55476
0,6,70472
0,7,34771
0,8,13511433
0,9,156910
0,10,58254
0,11,36033
0,12,33125
0,13,39392
0,14,38216
0,15,35774
1,0,81211
1,2,42611
1,3,335463
1,4,201593
1,5,864732
1,6,33352
1,7,296781
1,8,30988
1,9,159976
1,10,54426
1,11,39092
1,12,31397
1,13,815326
1,14,346461
1,15,1860606
2,0,106490
2,1,84327
2,3,480274
2,4,37650
2,5,100463
2,6,56014
2,7,47918
2,8,20802212
2,9,77344
2,10,7354693
2,11,69684
2,12,265001
2,13,130938
2,14,257934
2,15,68911
3,0,40629
3,1,1542119
3,2,85411
3,4,272396
3,5,50539
3,6,38216105
3,7,32678
3,8,29814
3,9,133203
3,10,41600
3,11,325035
3,12,216163
3,13,83267
3,14,280142
3,15,251177
4,0,163144
4,1,43308
4,2,135533
4,3,35267
4,5,244709
4,6,36294
4,7,80214
4,8,1208499
4,9,44389
4,10,33582
4,11,57115
4,12,31815
4,13,46691
4,14,142947
4,15,657824
5,0,93692
5,1,82228
5,2,461441
5,3,1047508
5,4,122493
5,6,1305152
5,7,9667995
5,8,97660
5,9,78281
5,10,626252
5,11,40003
5,12,48339
5,13,44023
5,14,1415411
5,15,66676
6,0,206263
6,1,770452
6,2,180677
6,3,570191
6,4,126598
6,5,94984
6,7,32900
6,8,232576
6,9,38504
6,10,29626
6,11,71274
6,12,3418152
6,13,30005
6,14,42957
6,15,288261
7,0,427269
7,1,60648
7,2,53913
7,3,87648
7,4,63210
7,5,40314
7,6,128738
7,8,29439
7,9,47503
7,10,54947
7,11,411733
7,12,140402
7,13,38797
7,14,50999
7,15,137931
8,0,50086
8,1,39695
8,2,1688929
8,3,166418
8,4,31605
8,5,49200
8,6,173303
8,7,60034
8,9,29255
8,10,124517
8,11,103404
8,12,33814
8,13,65253
8,14,73775
8,15,34287
9,0,45135
9,1,197097
9,2,65958
9,3,46294
9,4,120522
9,5,53409
9,6,32242
9,7,59431
9,8,114917
9,10,91194
9,11,153940
9,12,169802
9,13,57680
9,14,37372
9,15,37931
10,0,692141
10,1,397116
10,2,2600277
10,3,44759
10,4,51467
10,5,34528
10,6,192765
10,7,30392
10,8,67408
10,9,32027
10,11,979940
10,12,72925
10,13,2306091
10,14,919337
10,15,4003388
11,0,221413
11,1,89986
11,2,597127
11,3,79238
11,4,36559
11,5,116736
11,6,47094
11,7,51941
11,8,40949
11,9,2063476
11,10,305729
11,12,108091467
11,13,226880
11,14,96307
11,15,113145
12,0,58838
12,1,41272
12,2,2962800
12,3,211116
12,4,32459
12,5,101916
12,6,148274
12,7,4777013
12,8,109733
12,9,37098
12,10,30197
12,11,111417
12,13,188590
12,14,383344
12,15,31192
13,0,315135
13,1,88804
13,2,145570
13,3,42270
13,4,68153
13,5,86518
13,6,35018
13,7,49639
13,8,56560
13,9,30787
13,10,35519
13,11,34049
13,12,151062
13,14,72092
13,15,61907
14,0,30589
14,1,370350
14,2,358074
14,3,64560
14,4,443807
14,5,61272
14,6,238514
14,7,500423
14,8,74641
14,9,104928
14,10,52423
14,11,52912
14,12,76425
14,13,176926
14,15,1123214
15,0,45516
15,1,45902
15,2,5836391
15,3,62553
15,4,48766
15,5,92429
15,6,118604
15,7,41933
15,8,99045
15,9,36826
15,10,545222
15,11,184563
15,12,29072
15,13,75524
15,14,522023
