src,dst,bytes
0,1,3075946
0,2,3156945
0,3,4220832
0,4,2320161
0,5,1169443
0,6,1181867
0,7,2729990
0,8,1236584
0,9,1887582
0,10,3562952
0,11,1686280
0,12,1608517
0,13,1043126
0,14,1255572
0,15,8800842
0,16,2060241
0,17,2004145
0,18,1045939
0,19,1081784
0,20,1039259
0,21,1920157
0,22,2856565
0,23,2024055
0,24,2304637
0,25,1132572
0,26,2098955
0,27,1182725
0,28,2225630
0,29,2140433
0,30,7876971
0,31,2126403
0,32,3489419
0,33,1343919
0,34,4276763
0,35,1267150
0,36,1825254
0,37,1297704
0,38,1155949
0,39,1663121
0,40,1186171
0,41,1568508
0,42,1998537
0,43,1097249
0,44,1754062
0,45,1868946
0,46,1259845
0,47,4053303
0,48,43029337
0,49,5429426
0,50,6565392
0,51,4676084
0,52,3262419
0,53,3385288
0,54,1248093
0,55,1502137
0,56,1054482
0,57,4393793
0,58,1037337
0,59,1777329
0,60,1112471
0,61,1323298
0,62,18400050
0,63,2252094
1,0,4846850
1,2,3334319
1,3,1915910
1,4,1717430
1,5,1181011
1,6,1051837
1,7,6498483
1,8,2069264
1,9,1789588
1,10,4048735
1,11,1073658
1,12,4080955
1,13,1354699
1,14,3806184
1,15,1883495
1,16,2145884
1,17,1092916
1,18,1315610
1,19,1018348
1,20,6185645
1,21,1711491
1,22,1804257
1,23,1366466
1,24,8379791
1,25,1283769
1,26,1731470
1,27,1202554
1,28,2361376
1,29,1483770
1,30,1143330
1,31,1397333
1,32,1014887
1,33,10336842
1,34,3625767
1,35,19118151
1,36,1708866
1,37,1601124
1,38,5862462
1,39,3030023
1,40,1458520
1,41,1025766
1,42,1108003
1,43,1138578
1,44,1019371
1,45,12528214
1,46,2448971
1,47,1203148
1,48,1517505
1,49,6115519
1,50,1173646
1,51,1108497
1,52,1443559
1,53,1944338
1,54,1674924
1,55,1910000
1,56,1016309
1,57,1709522
1,58,1713466
1,59,1462200
1,60,1129208
1,61,2173618
1,62,1248416
1,63,4518284
2,0,10262275
2,1,2985614
2,3,2601800
2,4,1541493
2,5,1023073
2,6,1503118
2,7,3814142
2,8,4688739
2,9,2951573
2,10,1186747
2,11,1056032
2,12,6081122
2,13,1960248
2,14,1685010
2,15,1219455
2,16,4826432
2,17,1898301
2,18,1693306
2,19,1234374
2,20,1679950
2,21,6306638
2,22,1553545
2,23,1196351
2,24,21914283
2,25,1157037
2,26,2435803
2,27,1520521
2,28,2157989
2,29,1772335
2,30,2182664
2,31,1210034
2,32,1216093
2,33,1736886
2,34,3083341
2,35,7917997
2,36,1097732
2,37,1259515
2,38,6578960
2,39,1262490
2,40,1011049
2,41,1062284
2,42,4888276
2,43,5403086
2,44,2260663
2,45,1024936
2,46,3352110
2,47,1907479
2,48,15368879
2,49,1165829
2,50,2779863
2,51,2586718
2,52,6511742
2,53,1193422
2,54,1853074
2,55,2770113
2,56,2673091
2,57,1073197
2,58,1221914
2,59,1555133
2,60,1214572
2,61,1237534
2,62,1274552
2,63,1543574
3,0,1413364
3,1,1090765
3,2,2999479
3,4,1121277
3,5,1335961
3,6,1390705
3,7,2366815
3,8,3175309
3,9,1754757
3,10,1127920
3,11,1373237
3,12,22120294
3,13,1340875
3,14,2425671
3,15,1277948
3,16,1045072
3,17,1799092
3,18,1085781
3,19,70388553
3,20,1424139
3,21,1263486
3,22,1122802
3,23,1384555
3,24,2372281
3,25,1283425
3,26,49572027
3,27,8853541
3,28,1410806
3,29,2545837
3,30,2620504
3,31,1394425
3,32,1850719
3,33,1049207
3,34,1303731
3,35,4651002
3,36,17368718
3,37,9243355
3,38,1519011
3,39,1768788
3,40,1860972
3,41,2082457
3,42,2029826
3,43,1309820
3,44,3053999
3,45,4171393
3,46,1353922
3,47,1223456
3,48,2583393
3,49,1427626
3,50,13336137
3,51,1537350
3,52,1416792
3,53,1840592
3,54,5377031
3,55,3049170
3,56,2009789
3,57,3103258
3,58,1646667
3,59,1289303
3,60,1185883
3,61,4682402
3,62,1534773
3,63,1863356
4,0,2400048
4,1,5958634
4,2,2186078
4,3,1049644
4,5,1666828
4,6,2916211
4,7,1396085
4,8,1306946
4,9,1044206
4,10,1207929
4,11,2869115
4,12,1447154
4,13,1201960
4,14,2228007
4,15,5660731
4,16,7565181
4,17,6092539
4,18,1613105
4,19,1013874
4,20,1041618
4,21,1977363
4,22,1477602
4,23,1690744
4,24,2032725
4,25,2478814
4,26,6343983
4,27,1184445
4,28,1456688
4,29,42121047
4,30,1452130
4,31,3778620
4,32,4669785
4,33,1504101
4,34,4663505
4,35,3444373
4,36,1512509
4,37,2342560
4,38,1576111
4,39,2756592
4,40,1087911
4,41,21131583
4,42,1066574
4,43,2637773
4,44,5162511
4,45,3358088
4,46,1621787
4,47,2218534
4,48,2815611
4,49,10225443
4,50,1061610
4,51,1220990
4,52,1946091
4,53,1510025
4,54,1374841
4,55,8022699
4,56,1086490
4,57,1343538
4,58,1369245
4,59,1250034
4,60,2562014
4,61,2238774
4,62,2072292
4,63,1374038
5,0,1105047
5,1,3078407
5,2,2034663
5,3,1308022
5,4,1033096
5,6,1672423
5,7,7491509
5,8,4995419
5,9,3400615
5,10,3522416
5,11,1113470
5,12,4132769
5,13,4553629
5,14,1288955
5,15,7279852
5,16,1641862
5,17,1843695
5,18,1411231
5,19,4472105
5,20,1428939
5,21,2555516
5,22,2696624
5,23,1047679
5,24,3782530
5,25,1181581
5,26,7756711
5,27,1290346
5,28,1046374
5,29,6538443
5,30,1454405
5,31,2003208
5,32,1037551
5,33,1468224
5,34,7528142
5,35,1194299
5,36,1729448
5,37,2775954
5,38,1745083
5,39,3643661
5,40,2086554
5,41,10895126
5,42,1342015
5,43,1051178
5,44,1242309
5,45,1716106
5,46,2203331
5,47,11200659
5,48,1807966
5,49,7178975
5,50,1271512
5,51,1068620
5,52,1930437
5,53,1391117
5,54,5528534
5,55,1867345
5,56,1115724
5,57,3545935
5,58,1266148
5,59,3254024
5,60,3573251
5,61,5438271
5,62,2044416
5,63,4292308
6,0,1116477
6,1,1436429
6,2,1232173
6,3,3502534
6,4,1229668
6,5,2013571
6,7,1156221
6,8,2302072
6,9,3539180
6,10,13609004
6,11,1109488
6,12,1779478
6,13,1897472
6,14,1533745
6,15,1153508
6,16,1028057
6,17,2184939
6,18,1827536
6,19,5593754
6,20,6209425
6,21,1679320
6,22,1032252
6,23,1368449
6,24,2651773
6,25,1147591
6,26,1037977
