src,dst,bytes
0,1,2555492
0,2,276803
0,3,446713
0,4,1992229
0,5,173982
0,6,242573
0,7,397910
0,8,9855675
0,9,353211
0,10,310453
0,11,543034
0,12,3643688849
0,13,380950
0,14,187672
0,15,195022
0,16,416565
0,17,4234638
0,18,329300
0,19,757309
0,20,337226
0,21,299472
0,22,299048
0,23,344042
0,24,29088120
0,25,272214
0,26,500379
0,27,196060
0,28,172014
0,29,214530
0,30,633400
0,31,344957
0,32,235272
0,33,253498
0,34,228623
0,35,1015542
0,36,227934
0,37,257307
0,38,701591
0,39,1045571
0,40,758864
0,41,266271
0,42,888531
0,43,300609
0,44,582146
0,45,427728
0,46,1083222
0,47,275217
0,48,185353
0,49,1453887
0,50,246085
0,51,186536
0,52,240852
0,53,191407
0,54,310604
0,55,319303
0,56,2063027
0,57,287334
0,58,906543
0,59,502932
0,60,319622
0,61,980787
0,62,399105
0,63,4630006
1,0,4949280
1,2,285377
1,3,1373516
1,4,562192
1,5,236369
1,6,3057483
1,7,554207
1,8,349603
1,9,2236191
1,10,255813
1,11,368767
1,12,407166
1,13,205729
1,14,208540
1,15,346802
1,16,1426158
1,17,479433
1,18,173200
1,19,905465
1,20,173045
1,21,233465
1,22,744323
1,23,305238
1,24,323495
1,25,878239
1,26,247276
1,27,292405
1,28,194764
1,29,338996
1,30,231065
1,31,186953
1,32,254967
1,33,287597
1,34,2241854
1,35,217802
1,36,297501
1,37,224129
1,38,130796856
1,39,331505
1,40,210230
1,41,346617
1,42,4127884
1,43,296803
1,44,172838
1,45,213764
1,46,13526151
1,47,1284386
1,48,213155
1,49,1129866
1,50,222639
1,51,464753
1,52,2379740
1,53,1037222
1,54,247376
1,55,172168
1,56,480780
1,57,413218
1,58,347918
1,59,583106
1,60,2458011
1,61,274733
1,62,392260
1,63,405431
2,0,475767
2,1,186298
2,3,2815775
2,4,368146
2,5,639038
2,6,175832
2,7,347173
2,8,206300
2,9,393659
2,10,545151
2,11,608077
2,12,264794
2,13,177446
2,14,297641
2,15,193612
2,16,569008
2,17,5283914
2,18,189676
2,19,181208
2,20,482812
2,21,2330054
2,22,196125
2,23,622934
2,24,209271
2,25,211946
2,26,950501
2,27,21515046
2,28,3688825
2,29,4042627
2,30,240094
2,31,818123
2,32,265815
2,33,925237
2,34,1208964
2,35,179808
2,36,424384763
2,37,1190920
2,38,1723927
2,39,3993008
2,40,198431
2,41,180310
