src,dst,bytes
0,1,639927
0,2,935381
0,3,2390963
0,4,562671
0,5,546398
0,6,862326
0,7,1280265
0,8,1441903
0,9,486962
0,10,641372
0,11,23174028
0,12,715736
0,13,553051
0,14,563616
0,15,9724295
0,16,4536560
0,17,5993520
0,18,11882611
0,19,856296
0,20,1170257
0,21,499748
0,22,616073
0,23,960441
0,24,1146810
0,25,709428
0,26,604026
0,27,1765938
0,28,519117
0,29,1013631
0,30,754516
0,31,651269
0,32,855516
0,33,827674
0,34,720815
0,35,517855
0,36,608089
0,37,3333306
0,38,873315
0,39,875041
0,40,577740
0,41,872320
0,42,630976
0,43,8629932
0,44,901492
0,45,1003854
0,46,898582
0,47,517241
0,48,969861
0,49,662782
0,50,557368
0,51,522916
0,52,596579
0,53,2703946
0,54,116522654
0,55,661663
0,56,1491351
0,57,765588
0,58,1309276
0,59,1303669
0,60,527039
0,61,983261
0,62,1580692
0,63,481433
0,64,678591
0,65,1233410
0,66,596810
0,67,741909
0,68,714811
0,69,4300187
0,70,1221905
0,71,1316991
0,72,1115041
0,73,517603
0,74,4911990
0,75,931276
0,76,3719402
0,77,564226
0,78,2258995
0,79,618106
0,80,1195178
0,81,631762
0,82,569573
0,83,684610
0,84,685187
0,85,2270597
0,86,6550828
0,87,758122
0,88,2469809
0,89,495226
0,90,1433280
0,91,579932
0,92,860656
0,93,1016810
0,94,698548
0,95,550054
0,96,570963
0,97,759311
0,98,1871099
0,99,695818
0,100,1014900
0,101,950895
0,102,675779
0,103,490943
0,104,486719
0,105,886683
0,106,586249
0,107,1320427
0,108,912244
0,109,1112222
0,110,675270
0,111,1013377
0,112,1517539
0,113,791909
0,114,497386
0,115,563549
0,116,490497
0,117,1049062
0,118,637283
0,119,2088630
0,120,595046
0,121,47639460
0,122,544106
0,123,2151962
0,124,735689
0,125,499155
0,126,1173771
0,127,537448
1,0,589972
1,2,532931
1,3,639073
1,4,542517
1,5,692251
1,6,1814691
1,7,712165
1,8,1569080
1,9,1931611
1,10,1553009
1,11,996842
1,12,4674009
1,13,826631
1,14,706377
1,15,6697920
1,16,2399737
1,17,867647
1,18,673245
1,19,820831
1,20,5638766
1,21,485095
1,22,1531186
1,23,8090117
1,24,1742004
1,25,534607
1,26,490918
1,27,795711
1,28,486209
1,29,1856629
1,30,727235
1,31,799851
1,32,958090
1,33,625747
1,34,1417993
1,35,1171484
1,36,578457
1,37,572290
1,38,4570065
1,39,5905191
1,40,556775
1,41,644923
1,42,1337678
1,43,1439109
1,44,503496
1,45,519201
1,46,1100495
1,47,606170
1,48,6186839
1,49,899647
1,50,636348
1,51,719875
1,52,8256712
1,53,1784720
1,54,1174653
1,55,4952093
1,56,648751
1,57,521832
1,58,811492
1,59,613768
1,60,2236938
1,61,760438
1,62,8923178
1,63,1306354
1,64,2070754
1,65,2016743
1,66,753864
1,67,626004
1,68,2198576
1,69,666804
1,70,948597
1,71,954090
1,72,1841438
1,73,621879
1,74,525763
1,75,1373499
1,76,3957407
1,77,874132
1,78,481149
1,79,493713
1,80,1325271
1,81,673800
1,82,10784850
1,83,2028739
1,84,1509109
1,85,492836
1,86,795123
1,87,646854
1,88,5567520
1,89,654946
1,90,1151516
1,91,566817
1,92,569677
1,93,836698
1,94,489929
1,95,947289
1,96,852243
1,97,1939760
1,98,2610883
1,99,925969
1,100,1274932
1,101,583565
1,102,635505
1,103,927108
1,104,678334
1,105,884905
1,106,4662197
1,107,581197
1,108,743861
1,109,2695906
1,110,1292833
1,111,1290646
1,112,859168
1,113,2498375
1,114,764511
1,115,674104
1,116,854307
1,117,659054
1,118,628544
1,119,612745
1,120,983143
1,121,666163
1,122,629237
1,123,1776615
1,124,4326553
1,125,1322729
1,126,924010
1,127,831063
2,0,3287878
2,1,678437
2,3,1150841
2,4,596733
2,5,592119
2,6,692144
2,7,485966
2,8,606568
2,9,550310
2,10,1046332
2,11,575142
2,12,662441
2,13,2559839
2,14,1660398
2,15,826071
2,16,610589
2,17,1313348
2,18,1978264
2,19,545454
2,20,506455
2,21,750496
2,22,3661399
2,23,1559995
2,24,1902379
2,25,591628
2,26,714349
2,27,924421
2,28,14810547
2,29,590611
2,30,585622
2,31,805473
2,32,683303
2,33,650334
2,34,532305
2,35,4404426
2,36,1973712
2,37,1174476
2,38,1122637
2,39,959432
2,40,982316
2,41,544794
2,42,1097001
2,43,619525
2,44,1326895
2,45,589748
2,46,730008
2,47,1069203
2,48,1072933
2,49,1057768
2,50,1184816
2,51,2213155
2,52,747354
2,53,528235
2,54,580871
2,55,745127
2,56,3083166
2,57,574047
2,58,2214624
2,59,1454059
2,60,749531
2,61,1063380
2,62,482123
2,63,1805814
2,64,693004
2,65,1085629
2,66,526865
2,67,546999
2,68,680808
2,69,946094
2,70,2574193
2,71,719758
2,72,576064
2,73,1048105
2,74,604224
2,75,1088447
2,76,690376
2,77,808584
2,78,604937
2,79,4258103
2,80,951664
2,81,537539
2,82,1151179
2,83,711422
2,84,492361
2,85,708578
2,86,2193525
2,87,526981
2,88,3249035
2,89,593749
2,90,4376985
2,91,1289120
2,92,803664
2,93,5280768
2,94,798071
2,95,605811
2,96,724664
2,97,24401949
2,98,779690
2,99,554547
2,100,1090833
2,101,599517
2,102,727836
2,103,658814
2,104,494216
2,105,743988
2,106,499774
2,107,1662324
2,108,1772594
2,109,656420
2,110,689044
2,111,482456
2,112,540970
2,113,493538
2,114,598896
2,115,3679737
2,116,496112
2,117,513369
2,118,641010
2,119,25786659
2,120,497028
2,121,1010977
2,122,482886
2,123,729887
2,124,91492867
2,125,937395
2,126,576562
2,127,644054
3,0,1235186
3,1,671233
3,2,896270
3,4,933481
3,5,831387
3,6,651223
3,7,2859822
3,8,3656846
3,9,768090
3,10,3663680
3,11,6254445
3,12,625448
3,13,875314
3,14,561930
3,15,580835
3,16,1312441
3,17,2348152
3,18,569020
3,19,1365270
3,20,536750
3,21,2232435
3,22,526052
3,23,4125261
3,24,543077
3,25,517631
3,26,1463836
3,27,2028135
3,28,2905064
3,29,4009764
3,30,918490
3,31,1458642
3,32,869527
3,33,1058326
3,34,485216
3,35,16966805
3,36,1046740
3,37,6201720
3,38,497054
3,39,1344099
3,40,559789
3,41,739906
3,42,719993
3,43,5053299
3,44,656993
3,45,619944
3,46,498076
3,47,738535
3,48,1089639
3,49,683773
3,50,693166
3,51,498538
3,52,976451
3,53,1004847
3,54,991504
3,55,10508065
3,56,503522
3,57,502841
3,58,940275
3,59,832769
3,60,531000
3,61,3872613
3,62,586028
3,63,1235978
3,64,846623
3,65,637819
3,66,1949089
3,67,617731
3,68,540169
3,69,521804
3,70,918998
3,71,3745584
3,72,589860
3,73,656277
3,74,952105
3,75,978553
3,76,3245555
3,77,511920
3,78,566167
3,79,5034552
3,80,780674
3,81,3179331
3,82,1045516
3,83,1139007
3,84,1111754
3,85,922264
3,86,2050740
3,87,4439279
3,88,672036
3,89,541402
3,90,658141
3,91,492311
3,92,705535
3,93,953207
3,94,1030280
3,95,2814874
3,96,2724871
3,97,535691
3,98,522145
3,99,1164165
3,100,1555662
3,101,1170783
3,102,1847285
3,103,843174
3,104,509400
3,105,2840362
3,106,866043
3,107,516156
3,108,711308
3,109,4346568
3,110,88430180
3,111,718353
3,112,664100
3,113,2288649
3,114,944145
3,115,512384
3,116,574082
3,117,1407561
3,118,588253
3,119,481742
3,120,999289
3,121,536326
3,122,1188066
3,123,874950
3,124,2508064
3,125,658381
3,126,859343
3,127,769042
4,0,517883
4,1,569747
4,2,1260056
4,3,5447586
4,5,830738
4,6,7791005
4,7,553278
4,8,990661
4,9,887152
4,10,1154904
4,11,557732
4,12,1911836
4,13,1573838
4,14,551854
4,15,739344
4,16,515684
4,17,638401
4,18,2216096
4,19,2087342
4,20,1082534
4,21,552630
4,22,1255730
4,23,1422867
4,24,743798
4,25,680705
4,26,915859
4,27,623318
4,28,1468488
4,29,1366510
4,30,574788
4,31,3724131
4,32,1720869
4,33,2345638
4,34,615577
4,35,1073509
4,36,599090
4,37,12947109
4,38,652349
4,39,634266
4,40,632814
4,41,935592
4,42,802689
4,43,660549
4,44,613686
4,45,704751
4,46,1687029
4,47,915053
4,48,1771259
4,49,491813
4,50,646900
4,51,737914
4,52,802389
4,53,19884018
4,54,757990
4,55,2575225
4,56,649262
4,57,554384
4,58,10836951
4,59,1273448
4,60,1568403
4,61,1394697
4,62,1033976
4,63,595467
4,64,657614
4,65,566783
4,66,716258
4,67,2595015
4,68,528645
4,69,1557658
4,70,825831
4,71,514056
4,72,678129
4,73,567641
4,74,527476
4,75,766870
4,76,750239
4,77,653621
4,78,495301
4,79,3612011
4,80,723475
4,81,642096
4,82,584408
4,83,3374470
4,84,4833935
4,85,767480
4,86,798515
4,87,1155414
4,88,705255
4,89,1284568
4,90,497130
4,91,519229
4,92,1135069
4,93,1925147
4,94,953096
4,95,975985
4,96,508244
4,97,1429149
4,98,621963
4,99,19099387
4,100,2133526
4,101,659777
4,102,569123
4,103,745317
4,104,773151
4,105,1136051
4,106,695166
4,107,492686
4,108,491018
4,109,1537304
4,110,843090
4,111,506588
4,112,800223
4,113,830981
4,114,4446324
4,115,2710881
4,116,846285
4,117,909653
4,118,1695449
4,119,2512940
4,120,1260470
4,121,578241
4,122,3772185
4,123,499412
4,124,1297010
4,125,750046
4,126,493914
4,127,620657
5,0,1046468
5,1,14400551
5,2,1280479
5,3,744937
5,4,1016045
5,6,1070634
5,7,535118
5,8,752241
5,9,4592712
5,10,933271
5,11,727475
5,12,787357
5,13,843425
5,14,597890
5,15,524723
5,16,683407
5,17,780252
5,18,5376205
5,19,504628
5,20,2917311
5,21,989459
5,22,918389
5,23,25972342
5,24,866666
5,25,1390037
5,26,700142
5,27,578816
5,28,501224
5,29,589673
5,30,816520
5,31,595735
5,32,6843333
5,33,638759
5,34,482575
5,35,1189154
5,36,794244
5,37,500549
5,38,500938
5,39,557171
5,40,499052
5,41,836616
5,42,686502
5,43,4092758
5,44,567572
5,45,571207
5,46,612704
5,47,606529
5,48,570198
5,49,2325742
5,50,642732
5,51,662344
5,52,851728
5,53,572675
5,54,741156
5,55,70250516
5,56,841503
5,57,531177
5,58,2778815
5,59,552403
5,60,1117245
5,61,521718
5,62,2108173
5,63,6035298
5,64,1133926
5,65,820122
5,66,631850
5,67,527126
5,68,535751
5,69,4717901
5,70,769110
5,71,1014138
5,72,1381585
5,73,2075826
5,74,772463
5,75,2781269
5,76,2249047
5,77,695275
5,78,716026
5,79,2066338
5,80,2536644
5,81,539647
5,82,909256
5,83,771296
5,84,574682
5,85,1894061
5,86,535510
5,87,1444991
5,88,796299
5,89,1207247
5,90,2812353
5,91,497181
5,92,493187
5,93,579283
5,94,987662
5,95,673346
5,96,1453774
5,97,757464
5,98,1132460
5,99,653526
5,100,769314
5,101,654330
5,102,1047558
5,103,1401490
5,104,693705
5,105,564871
5,106,665818
5,107,1132135
5,108,518359
5,109,1532148
5,110,694841
5,111,901200
5,112,918085
5,113,2359116
5,114,9870409
5,115,591364
5,116,1694643
5,117,481101
5,118,1398084
5,119,1683449
5,120,597426
5,121,4876951
5,122,520838
5,123,1000026
5,124,719699
5,125,1000395
5,126,1245766
5,127,818787
6,0,642142
6,1,4248523
6,2,33751845
6,3,557633
6,4,1510973
6,5,703969
6,7,554580
6,8,4638774
6,9,1393918
6,10,642278
6,11,805171
6,12,521065
6,13,584554
6,14,5699726
6,15,523459
6,16,1213101
6,17,564599
6,18,1612026
6,19,781308
6,20,502527
6,21,1718787
6,22,512876
6,23,482671
6,24,851215
6,25,599673
6,26,1240551
6,27,830334
6,28,494796
6,29,835630
6,30,976218
6,31,6355090
6,32,865954
6,33,522430
6,34,1764172
6,35,806381
6,36,539371
6,37,511594
6,38,1134252
6,39,1359110
6,40,2208027
6,41,517324
6,42,1974280
6,43,865155
6,44,1134906
6,45,1300774
6,46,3018164
6,47,605771
6,48,649216
6,49,769928
6,50,963257
6,51,629714
6,52,611523
6,53,650381
6,54,699646
6,55,590348
6,56,481766
6,57,1252253
6,58,506562
6,59,798737
6,60,1003482
6,61,952325
6,62,551596
6,63,704136
6,64,715968
6,65,590198
6,66,808737
6,67,524004
6,68,2845522
6,69,510914
6,70,880542
6,71,1268389
6,72,818473
6,73,1033314
6,74,579895
6,75,537235
6,76,834156
6,77,2429214
6,78,681897
6,79,604303
6,80,6224194
6,81,709485
6,82,527068
6,83,674762
6,84,1565364
6,85,1220748
6,86,553148
6,87,2999114
6,88,583126
6,89,1915542
6,90,747993
6,91,581451
6,92,1880717
6,93,635327
6,94,502057
6,95,945985
6,96,2386603
6,97,801416
6,98,775086
6,99,527214
6,100,1186258
6,101,2391837
6,102,1159342
6,103,1996713
6,104,685818
6,105,1013884
6,106,680240
6,107,797110
6,108,2110810
