src,dst,bytes
0,1,589972
0,2,3287878
0,3,1235186
0,4,517883
0,5,1046468
0,6,642142
0,7,2309450
0,8,556151
0,9,740780
0,10,515131
0,11,4143236
0,12,619274
0,13,6128109
0,14,685345
0,15,1142977
0,16,816832
0,17,772257
0,18,3025564
0,19,1042131
0,20,796520
0,21,2079649
0,22,545516
0,23,631281
0,24,1195729
0,25,1392881
0,26,1353255
0,27,1804421
0,28,854652
0,29,1657327
0,30,511811
0,31,869438
0,32,3454324
0,33,689470
0,34,910947
0,35,3448337
0,36,493162
0,37,487450
0,38,1055958
0,39,638445
0,40,2205110
0,41,665032
0,42,773841
0,43,763304
0,44,667101
0,45,4185871
0,46,585806
0,47,550824
0,48,746843
0,49,7015678
0,50,607728
0,51,930126
0,52,4666127
0,53,514965
0,54,1106169
0,55,2314310
0,56,740343
0,57,682261
0,58,1542825
0,59,799628
0,60,991624
0,61,1035702
0,62,504364
0,63,2566993
0,64,2211687
0,65,513698
0,66,895119
0,67,756609
0,68,522259
0,69,484661
0,70,906487
0,71,2103576
0,72,980901
0,73,627680
0,74,794756
0,75,900034
0,76,541340
0,77,971355
0,78,1213480
0,79,641824
0,80,547473
0,81,650801
0,82,742286
0,83,1293929
0,84,868810
0,85,491688
0,86,1098061
0,87,483316
0,88,1641036
0,89,1940306
0,90,643324
0,91,2143725
0,92,530586
0,93,577347
0,94,749724
0,95,881281
0,96,1397823
0,97,846707
0,98,1467031
0,99,10178015
0,100,633605
0,101,481980
0,102,1211584
0,103,786354
0,104,1881736
0,105,2521770
0,106,506136
0,107,2617291
0,108,755823
0,109,995623
0,110,7413789
0,111,555528
0,112,1721286
0,113,651457
0,114,650661
0,115,1005468
0,116,1992064
0,117,1084005
0,118,1041997
0,119,730918
0,120,490670
0,121,647824
0,122,992349
0,123,1294149
0,124,586360
0,125,569851
0,126,94805025
0,127,1029755
1,0,639927
1,2,678437
1,3,671233
1,4,569747
1,5,14400551
1,6,4248523
1,7,606728
1,8,551725
1,9,585327
1,10,13521676
1,11,1592850
1,12,4329875
1,13,4746319
1,14,718295
1,15,521491
1,16,2047653
1,17,2466992
1,18,1739010
1,19,1747163
1,20,1588310
1,21,2009031
1,22,661566
1,23,812877
1,24,3037489
1,25,749853
1,26,501510
1,27,620531
1,28,509940
1,29,579211
1,30,2649872
1,31,4983797
1,32,1029230
1,33,503076
1,34,11332717
1,35,1966365
1,36,1124394
1,37,1106324
1,38,608290
1,39,531237
1,40,921036
1,41,2037841
1,42,941990
1,43,602685
1,44,1271545
1,45,2020923
1,46,502631
1,47,1142147
1,48,2676602
1,49,840420
1,50,3206129
1,51,750174
1,52,1302108
1,53,2510012
1,54,1120568
1,55,493462
1,56,721287
1,57,743041
1,58,609054
1,59,867290
1,60,609256
1,61,528176
1,62,1203691
1,63,820752
1,64,1511907
1,65,5306894
1,66,1850225
1,67,661858
1,68,721404
1,69,653810
1,70,545863
1,71,600452
1,72,11106200
1,73,811415
1,74,565178
1,75,636704
1,76,1635066
1,77,1362059
1,78,1068204
1,79,692036
1,80,682001
1,81,509616
1,82,937714
1,83,1822718
1,84,891780
1,85,526719
1,86,731586
1,87,507015
1,88,973201
1,89,606010
1,90,1734753
1,91,1030675
1,92,1411286
1,93,737542
1,94,852157
1,95,517296
1,96,711479
1,97,569089
1,98,1873115
1,99,549670
1,100,14653751
1,101,562637
1,102,510589
1,103,584114
1,104,818317
1,105,638669
1,106,596157
1,107,795784
1,108,3634273
1,109,9043385
1,110,5224296
1,111,523660
1,112,1500171
1,113,843844
1,114,20745105
1,115,613276
1,116,796963
1,117,907672
1,118,1478189
1,119,1192249
1,120,882485
1,121,1554003
1,122,536507
1,123,594855
1,124,1274296
1,125,838844
1,126,634531
1,127,11755268
2,0,935381
2,1,532931
2,3,896270
2,4,1260056
2,5,1280479
2,6,33751845
2,7,535782
2,8,926901
2,9,1458929
2,10,729222
2,11,1090982
2,12,1653887
2,13,581742
2,14,756085
2,15,495150
2,16,1248595
2,17,914751
2,18,1239753
2,19,950237
2,20,686239
2,21,9060856
2,22,16151492
2,23,543544
2,24,943713
2,25,1948538
2,26,560657
2,27,661130
2,28,9786316
2,29,530734
2,30,683668
2,31,498949
2,32,1057628
2,33,605413
2,34,938779
2,35,1075098
2,36,1433004
2,37,3041988
2,38,657136
2,39,1346975
2,40,619232
2,41,640107
2,42,673043
2,43,1208752
2,44,6467643
2,45,507682
2,46,884252
2,47,731282
2,48,514910
2,49,932115
2,50,1532791
2,51,661372
2,52,503207
2,53,2880914
2,54,538514
2,55,2306222
2,56,539493
2,57,579427
2,58,1253682
2,59,2788658
2,60,1708053
2,61,704192
2,62,2791131
2,63,858906
2,64,2546671
2,65,601194
2,66,581887
2,67,7766164
2,68,672841
2,69,3389724
2,70,570824
2,71,518247
2,72,1349624
2,73,2603451
2,74,1380061
2,75,637239
2,76,2529679
2,77,568364
2,78,654141
2,79,567881
2,80,669184
2,81,894544
2,82,915355
2,83,628155
2,84,625919
2,85,1383624
2,86,865421
2,87,663611
2,88,764578
2,89,735565
2,90,15135763
2,91,502266
2,92,4920839
2,93,499309
2,94,558360
2,95,1786986
2,96,555233
2,97,508405
2,98,1144807
2,99,34799814
2,100,650989
2,101,983616
2,102,496595
2,103,909455
2,104,1006465
2,105,630366
2,106,1560329
2,107,2520786
2,108,1645169
2,109,653290
2,110,639028
2,111,585253
2,112,496748
2,113,15536155
2,114,10065705
2,115,927315
2,116,2667625
2,117,603473
2,118,878608
2,119,495631
2,120,587286
2,121,894162
2,122,724842
2,123,3064711
2,124,500523
2,125,608250
2,126,569712
2,127,781167
3,0,2390963
3,1,639073
3,2,1150841
3,4,5447586
3,5,744937
3,6,557633
3,7,985754
3,8,552986
3,9,695601
3,10,729041
3,11,544294
3,12,1238558
3,13,1514717
3,14,684191
3,15,801566
3,16,939099
3,17,650428
3,18,496875
3,19,578385
3,20,508889
3,21,1384134
3,22,551629
3,23,916162
3,24,620028
3,25,571033
3,26,525185
3,27,1024143
3,28,934219
3,29,877507
3,30,977851
3,31,689789
3,32,16281224
3,33,20632893
3,34,1351073
3,35,845357
3,36,565757
3,37,952986
3,38,500316
3,39,575709
3,40,652161
3,41,916263
3,42,4069479
3,43,2628051
3,44,492936
3,45,558592
3,46,1428326
3,47,1140823
3,48,615825
3,49,2183500
3,50,629497
3,51,543981
3,52,528323
3,53,4471181
3,54,988260
3,55,6918742
3,56,709542
3,57,718120
3,58,1014646
3,59,527447
3,60,754907
3,61,1079020
3,62,485990
3,63,12180824
3,64,572255
3,65,949799
3,66,670082
3,67,1231050
3,68,495403
3,69,765925
3,70,2830105
3,71,513150
3,72,1137856
3,73,1758899
3,74,589485
3,75,535179
3,76,625063
3,77,2717856
3,78,2228698
3,79,1505704
3,80,4705839
3,81,1419073
3,82,649868
3,83,958425
3,84,513808
3,85,531089
3,86,547949
3,87,4890025
3,88,14917194
3,89,805700
3,90,887810
3,91,1793822
3,92,518079
3,93,711593
3,94,511213
3,95,2021522
3,96,859605
3,97,1076692
3,98,1137034
3,99,1055541
3,100,907079
3,101,644145
3,102,1377529
3,103,640739
3,104,1384390
3,105,12389195
3,106,610954
3,107,496138
3,108,634708
3,109,518920
3,110,1202573
3,111,552824
3,112,618481
3,113,907573
3,114,909852
3,115,1192614
3,116,724069
3,117,870426
3,118,1212152
3,119,486597
3,120,1419613
3,121,699206
3,122,1134579
3,123,594359
3,124,1767707
3,125,934535
3,126,1179086
3,127,1126479
4,0,562671
4,1,542517
4,2,596733
4,3,933481
4,5,1016045
4,6,1510973
4,7,519990
4,8,745508
4,9,1312667
4,10,4619456
4,11,809653
4,12,1804885
4,13,1009845
4,14,674408
4,15,668141
4,16,2036013
4,17,533199
4,18,658718
4,19,571975
4,20,674610
4,21,582542
4,22,677361
4,23,513616
4,24,2343966
4,25,1359846
4,26,653857
4,27,1950746
4,28,553733
4,29,616031
4,30,485675
4,31,1415570
4,32,2492603
4,33,1269649
4,34,563413
4,35,1564691
4,36,2789894
4,37,851300
4,38,990420
4,39,764982
4,40,820673
4,41,771502
4,42,582360
4,43,988859
4,44,2109490
4,45,581089
4,46,9239839
4,47,585216
4,48,1119141
4,49,1158144
4,50,6492348
4,51,829122
4,52,2194245
4,53,486889
4,54,870516
4,55,1793365
4,56,6653891
4,57,3857166
4,58,485554
4,59,1426137
4,60,8940130
4,61,1145307
4,62,814346
4,63,562806
4,64,979491
4,65,482528
4,66,1176422
4,67,1580348
4,68,734889
4,69,728618
4,70,559855
4,71,540077
4,72,1024014
4,73,2106200
4,74,5755873
4,75,720169
4,76,5002120
4,77,783431
4,78,3055576
4,79,877690
4,80,2181365
4,81,1900813
4,82,1665416
4,83,524407
4,84,680033
4,85,509994
4,86,604739
4,87,925040
4,88,15247776
4,89,1171133
4,90,788220
4,91,8661442
4,92,504839
4,93,993801
4,94,1633581
4,95,961340
4,96,701745
4,97,521377
4,98,1196281
4,99,2895618
4,100,1162783
4,101,664247
4,102,541773
4,103,556118
4,104,6216682
4,105,609659
4,106,2369340
4,107,568605
4,108,703913
4,109,583199
4,110,1153716
4,111,1335081
4,112,3003486
4,113,3849494
4,114,796373
4,115,625277
4,116,678180
4,117,659006
4,118,1860596
4,119,2524729
4,120,487499
4,121,911146
4,122,573237
4,123,835794
4,124,945010
4,125,10246766
4,126,1240750
4,127,1042401
5,0,546398
5,1,692251
5,2,592119
5,3,831387
5,4,830738
5,6,703969
5,7,890452
5,8,756675
5,9,1477301
5,10,2129478
5,11,1269439
5,12,1268808
5,13,1084890
5,14,607328
5,15,495859
5,16,490621
5,17,730978
5,18,2438308
5,19,519595
5,20,576456
5,21,760172
5,22,1751923
5,23,2423794
5,24,4965625
5,25,517995
5,26,584261
5,27,1722121
5,28,643689
5,29,919202
5,30,2690196
5,31,580473
5,32,4907579
5,33,867826
5,34,5475612
5,35,1867583
5,36,944685
5,37,575284
5,38,1343382
5,39,1494682
5,40,787716
5,41,529878
5,42,536447
5,43,490571
5,44,1703964
5,45,1893544
5,46,673851
5,47,492087
5,48,501042
5,49,952545
5,50,1970879
5,51,1169033
5,52,673649
5,53,1607005
5,54,630235
5,55,2705099
5,56,506296
5,57,511566
5,58,524033
5,59,502083
5,60,580546
5,61,503995
5,62,4182793
5,63,2416610
5,64,759642
5,65,792491
5,66,2326564
5,67,5952386
5,68,613850
5,69,644374
5,70,531296
5,71,882949
5,72,3553406
5,73,954754
5,74,641779
5,75,835958
5,76,509373
5,77,647870
5,78,874859
5,79,857338
5,80,901589
5,81,1418263
5,82,994286
5,83,614301
5,84,698274
5,85,585732
5,86,2901007
5,87,1744149
5,88,615330
5,89,6394779
5,90,588067
5,91,1152361
5,92,565416
5,93,1176245
5,94,738908
5,95,835712
5,96,596003
5,97,687453
5,98,3901296
5,99,801342
