src,dst,bytes
0,1,2097152
0,2,2097152
0,3,2097152
0,4,2097152
0,5,2097152
0,6,2097152
0,7,2097152
0,8,2097152
0,9,2097152
0,10,2097152
0,11,2097152
0,12,2097152
0,13,2097152
0,14,2097152
0,15,2097152
0,16,2097152
0,17,2097152
0,18,2097152
0,19,2097152
0,20,2097152
0,21,2097152
0,22,2097152
0,23,2097152
0,24,2097152
0,25,2097152
0,26,2097152
0,27,2097152
0,28,2097152
0,29,2097152
0,30,2097152
0,31,2097152
0,32,2097152
0,33,2097152
0,34,2097152
0,35,2097152
0,36,2097152
0,37,2097152
0,38,2097152
0,39,2097152
0,40,2097152
0,41,2097152
0,42,2097152
0,43,2097152
0,44,2097152
0,45,2097152
0,46,2097152
0,47,2097152
0,48,2097152
0,49,2097152
0,50,2097152
0,51,2097152
0,52,2097152
0,53,2097152
0,54,2097152
0,55,2097152
0,56,2097152
0,57,2097152
0,58,2097152
0,59,2097152
0,60,2097152
0,61,2097152
0,62,2097152
0,63,2097152
0,64,2097152
0,65,2097152
0,66,2097152
0,67,2097152
0,68,2097152
0,69,2097152
0,70,2097152
0,71,2097152
0,72,2097152
0,73,2097152
0,74,2097152
0,75,2097152
0,76,2097152
0,77,2097152
0,78,2097152
0,79,2097152
0,80,2097152
0,81,2097152
0,82,2097152
0,83,2097152
0,84,2097152
0,85,2097152
0,86,2097152
0,87,2097152
0,88,2097152
0,89,2097152
0,90,2097152
0,91,2097152
0,92,2097152
0,93,2097152
0,94,2097152
0,95,2097152
0,96,2097152
0,97,2097152
0,98,2097152
0,99,2097152
0,100,2097152
0,101,2097152
0,102,2097152
0,103,2097152
0,104,2097152
0,105,2097152
0,106,2097152
0,107,2097152
0,108,2097152
0,109,2097152
0,110,2097152
0,111,2097152
0,112,2097152
0,113,2097152
0,114,2097152
0,115,2097152
0,116,2097152
0,117,2097152
0,118,2097152
0,119,2097152
0,120,2097152
0,121,2097152
0,122,2097152
0,123,2097152
0,124,2097152
0,125,2097152
0,126,2097152
0,127,2097152
1,0,2097152
1,2,2097152
1,3,2097152
1,4,2097152
1,5,2097152
1,6,2097152
1,7,2097152
1,8,2097152
1,9,2097152
1,10,2097152
1,11,2097152
1,12,2097152
1,13,2097152
1,14,2097152
1,15,2097152
1,16,2097152
1,17,2097152
1,18,2097152
1,19,2097152
1,20,2097152
1,21,2097152
1,22,2097152
1,23,2097152
1,24,2097152
1,25,2097152
1,26,2097152
1,27,2097152
1,28,2097152
1,29,2097152
1,30,2097152
1,31,2097152
1,32,2097152
1,33,2097152
1,34,2097152
1,35,2097152
1,36,2097152
1,37,2097152
1,38,2097152
1,39,2097152
1,40,2097152
1,41,2097152
1,42,2097152
1,43,2097152
1,44,2097152
1,45,2097152
1,46,2097152
1,47,2097152
1,48,2097152
1,49,2097152
1,50,2097152
1,51,2097152
1,52,2097152
1,53,2097152
1,54,2097152
1,55,2097152
1,56,2097152
1,57,2097152
1,58,2097152
1,59,2097152
1,60,2097152
1,61,2097152
1,62,2097152
1,63,2097152
1,64,2097152
1,65,2097152
1,66,2097152
1,67,2097152
1,68,2097152
1,69,2097152
1,70,2097152
1,71,2097152
