Total batches,143051.1474609375,Explicit schedule unit,one optimization step,DP overlap mode,lump
Event,Type,start time,end time,duration,Bytes to be transferred,Collective type,Parallelism,Locality,Degree,Lane,Step,Layer index,First layer,Last layer,Layer count,Bucket id,Unit kind,Ready time,Raw comm duration,Raw reconf duration,Hidden comm duration,Exposed comm duration,Hidden reconf duration,Exposed reconf duration,Stage index,Microbatch index,Scheduler explicit,Event provenance,Ordering source,topology_signature,Topology candidate tag,previous_event_type,previous_topology_signature,gap_from_previous_s
FWD_LAYER_COMPUTE,Compute,0.0,0.007500433714398891,0.007500433714398891,NONE,NONE,NONE,NONE,0,MAIN_SERIAL,0,0,NONE,NONE,0,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,no,scaffold_serial,phase_scaffold_serial,none,NONE,NONE,none,NONE
FWD_PP_STAGE_COMPUTE,Compute,0.0,0.7231868235689602,0.7231868235689602,NONE,NONE,NONE,NONE,0,PP_STAGE_0,0,NONE,0,11,12,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,0,0,yes,scheduler_explicit,phase5a_pp_scheduler,none,stage=0|microbatch=0|phase=fwd_compute,FWD_LAYER_COMPUTE,none,-0.007500433714398891
FWD_PP_BUBBLE,Bubble,0.0,0.7231868235689602,0.7231868235689602,NONE,NONE,PP,NONE,0,PP_STAGE_1_IDLE,0,NONE,12,23,12,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,1,0,yes,scheduler_explicit,phase5b_pp_idle_scheduler,none,stage=1|microbatch=0|phase=fwd|reason=startup_bubble,FWD_PP_STAGE_COMPUTE,none,-0.7231868235689602
FWD_PP_BUBBLE,Bubble,0.0,1.4464127966835871,1.4464127966835871,NONE,NONE,PP,NONE,0,PP_STAGE_2_IDLE,0,NONE,24,35,12,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,2,0,yes,scheduler_explicit,phase5b_pp_idle_scheduler,none,stage=2|microbatch=0|phase=fwd|reason=startup_bubble,FWD_PP_BUBBLE,none,-0.7231868235689602
FWD_PP_BUBBLE,Bubble,0.0,2.169638769798214,2.169638769798214,NONE,NONE,PP,NONE,0,PP_STAGE_3_IDLE,0,NONE,36,47,12,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,3,0,yes,scheduler_explicit,phase5b_pp_idle_scheduler,none,stage=3|microbatch=0|phase=fwd|reason=startup_bubble,FWD_PP_BUBBLE,none,-1.4464127966835871
FWD_PP_BUBBLE,Bubble,0.0,2.892864742912841,2.892864742912841,NONE,NONE,PP,NONE,0,PP_STAGE_4_IDLE,0,NONE,48,59,12,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,4,0,yes,scheduler_explicit,phase5b_pp_idle_scheduler,none,stage=4|microbatch=0|phase=fwd|reason=startup_bubble,FWD_PP_BUBBLE,none,-2.169638769798214
FWD_PP_BUBBLE,Bubble,0.0,3.616090716027468,3.616090716027468,NONE,NONE,PP,NONE,0,PP_STAGE_5_IDLE,0,NONE,60,71,12,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,5,0,yes,scheduler_explicit,phase5b_pp_idle_scheduler,none,stage=5|microbatch=0|phase=fwd|reason=startup_bubble,FWD_PP_BUBBLE,none,-2.892864742912841
FWD_PP_BUBBLE,Bubble,0.0,4.339316689142095,4.339316689142095,NONE,NONE,PP,NONE,0,PP_STAGE_6_IDLE,0,NONE,72,83,12,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,6,0,yes,scheduler_explicit,phase5b_pp_idle_scheduler,none,stage=6|microbatch=0|phase=fwd|reason=startup_bubble,FWD_PP_BUBBLE,none,-3.616090716027468
FWD_PP_BUBBLE,Bubble,0.0,5.062542662256721,5.062542662256721,NONE,NONE,PP,NONE,0,PP_STAGE_7_IDLE,0,NONE,84,95,12,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,7,0,yes,scheduler_explicit,phase5b_pp_idle_scheduler,none,stage=7|microbatch=0|phase=fwd|reason=startup_bubble,FWD_PP_BUBBLE,none,-4.339316689142095
FWD_TP_COMM_INTRA,Comm,0.007500433714398891,0.007533196078843335,3.276236444444466e-05,20132659.200000003,ALLREDUCE,TP,INTRA,8,MAIN_SERIAL,0,0,NONE,NONE,0,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,no,scaffold_serial,phase_scaffold_serial,tp_intra,collective=ALLREDUCE|parallelism=TP|locality=INTRA|degree=8|bytes=20132659.200000003,FWD_PP_BUBBLE,none,-5.055042228542322
FWD_LAYER_COMPUTE,Compute,0.007533196078843335,0.015033629793242225,0.00750043371439889,NONE,NONE,NONE,NONE,0,MAIN_SERIAL,0,1,NONE,NONE,0,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,no,scaffold_serial,phase_scaffold_serial,none,NONE,FWD_TP_COMM_INTRA,tp_intra,0.0
FWD_TP_COMM_INTRA,Comm,0.015033629793242225,0.015066392157686669,3.276236444444379e-05,20132659.200000003,ALLREDUCE,TP,INTRA,8,MAIN_SERIAL,0,1,NONE,NONE,0,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,no,scaffold_serial,phase_scaffold_serial,tp_intra,collective=ALLREDUCE|parallelism=TP|locality=INTRA|degree=8|bytes=20132659.200000003,FWD_LAYER_COMPUTE,none,0.0
