GEMM_time: 0.0003141537419879185, Reduction_time:0
GEMM_time: 1.1725007453177934e-05, Reduction_time:0
GEMM_time: 1.1725007453177934e-05, Reduction_time:0
GEMM_time: 0.0003135596743306879, Reduction_time:0
GEMM_time: 0.0003135596743306879, Reduction_time:0
GEMM_time: 0.0012264931465798285, Reduction_time:0
GEMM_time: 2.8189064642105475e-05, Reduction_time:8.438987087387033e-05
GEMM_time: 9.273281819696356e-06, Reduction_time:8.400106813195526e-05
GEMM_time: 9.258002674798576e-06, Reduction_time:8.412995695795677e-05
GEMM_time: 2.8136464901621516e-05, Reduction_time:8.412995695795677e-05
GEMM_time: 2.8136464901621516e-05, Reduction_time:8.412995695795677e-05
GEMM_time: 8.524121845291395e-05, Reduction_time:8.412995695795677e-05
GEMM_time: 2.8189064642105475e-05, Reduction_time:8.438987087387033e-05
GEMM_time: 9.273281819696356e-06, Reduction_time:8.400107867147924e-05
GEMM_time: 9.25955174037885e-06, Reduction_time:8.412995695795677e-05
GEMM_time: 2.8136464901621516e-05, Reduction_time:8.412995695795677e-05
GEMM_time: 2.8136464901621516e-05, Reduction_time:8.412995695795677e-05
GEMM_time: 8.524121845291395e-05, Reduction_time:8.412995695795677e-05
GEMM_time: 2.8189064642105475e-05, Reduction_time:8.438987087387033e-05
GEMM_time: 9.273281819696356e-06, Reduction_time:8.40010892110032e-05
GEMM_time: 9.261100805959127e-06, Reduction_time:8.412995695795677e-05
GEMM_time: 2.8136464901621516e-05, Reduction_time:8.412995695795677e-05
GEMM_time: 2.8136464901621516e-05, Reduction_time:8.412995695795677e-05
GEMM_time: 8.524121845291395e-05, Reduction_time:8.412995695795677e-05
GEMM_time: 2.8189064642105475e-05, Reduction_time:8.438987087387033e-05
GEMM_time: 9.273281819696356e-06, Reduction_time:8.400109989612856e-05
GEMM_time: 9.262649871539404e-06, Reduction_time:8.412995695795677e-05
GEMM_time: 2.8136464901621516e-05, Reduction_time:8.412995695795677e-05
GEMM_time: 2.8136464901621516e-05, Reduction_time:8.412995695795677e-05
GEMM_time: 8.524121845291395e-05, Reduction_time:8.412995695795677e-05
GEMM_time: 2.8189064642105475e-05, Reduction_time:8.438987087387033e-05
GEMM_time: 9.273281819696356e-06, Reduction_time:8.400111043565252e-05
GEMM_time: 9.26419893711968e-06, Reduction_time:8.412995695795677e-05
GEMM_time: 2.8136464901621516e-05, Reduction_time:8.412995695795677e-05
GEMM_time: 2.8136464901621516e-05, Reduction_time:8.412995695795677e-05
GEMM_time: 8.524121845291395e-05, Reduction_time:8.412995695795677e-05
GEMM_time: 2.8189064642105475e-05, Reduction_time:8.438987087387033e-05
GEMM_time: 9.273281819696356e-06, Reduction_time:8.400112097517649e-05
GEMM_time: 9.265748002699954e-06, Reduction_time:8.412995695795677e-05
GEMM_time: 2.8136464901621516e-05, Reduction_time:8.412995695795677e-05
GEMM_time: 2.8136464901621516e-05, Reduction_time:8.412995695795677e-05
GEMM_time: 8.524121845291395e-05, Reduction_time:8.412995695795677e-05
GEMM_time: 2.8189064642105475e-05, Reduction_time:8.438987087387033e-05
GEMM_time: 9.273281819696356e-06, Reduction_time:8.400113151470044e-05
GEMM_time: 9.26729706828023e-06, Reduction_time:8.412995695795677e-05
GEMM_time: 2.8136464901621516e-05, Reduction_time:8.412995695795677e-05
GEMM_time: 2.8136464901621516e-05, Reduction_time:8.412995695795677e-05
GEMM_time: 8.524121845291395e-05, Reduction_time:8.412995695795677e-05
GEMM_time: 2.8189064642105475e-05, Reduction_time:8.438987087387033e-05
GEMM_time: 9.273281819696356e-06, Reduction_time:8.40011421998258e-05
GEMM_time: 9.268846133860507e-06, Reduction_time:8.412995695795677e-05
GEMM_time: 2.8136464901621516e-05, Reduction_time:8.412995695795677e-05
GEMM_time: 2.8136464901621516e-05, Reduction_time:8.412995695795677e-05
GEMM_time: 8.524121845291395e-05, Reduction_time:8.412995695795677e-05
GEMM_time: 2.8189064642105475e-05, Reduction_time:8.438987087387033e-05
GEMM_time: 9.273281819696356e-06, Reduction_time:8.400115273934977e-05
GEMM_time: 9.270395199440784e-06, Reduction_time:8.412995695795677e-05
GEMM_time: 2.8136464901621516e-05, Reduction_time:8.412995695795677e-05
GEMM_time: 2.8136464901621516e-05, Reduction_time:8.412995695795677e-05
GEMM_time: 8.524121845291395e-05, Reduction_time:8.412995695795677e-05
GEMM_time: 2.8189064642105475e-05, Reduction_time:8.438987087387033e-05
GEMM_time: 9.273281819696356e-06, Reduction_time:8.400116327887374e-05
GEMM_time: 9.271944265021058e-06, Reduction_time:8.412995695795677e-05
GEMM_time: 2.8136464901621516e-05, Reduction_time:8.412995695795677e-05
GEMM_time: 2.8136464901621516e-05, Reduction_time:8.412995695795677e-05
GEMM_time: 8.524121845291395e-05, Reduction_time:8.412995695795677e-05
GEMM_time: 2.8189064642105475e-05, Reduction_time:8.438987087387033e-05
GEMM_time: 9.273281819696356e-06, Reduction_time:8.400117381839772e-05
GEMM_time: 9.273493330601334e-06, Reduction_time:8.412995695795677e-05
GEMM_time: 2.8136464901621516e-05, Reduction_time:8.412995695795677e-05
GEMM_time: 2.8136464901621516e-05, Reduction_time:8.412995695795677e-05
GEMM_time: 8.524121845291395e-05, Reduction_time:8.412995695795677e-05
GEMM_time: 2.8189064642105475e-05, Reduction_time:8.438987087387033e-05
GEMM_time: 9.298036653137202e-06, Reduction_time:8.400118450352304e-05
GEMM_time: 9.27504239618161e-06, Reduction_time:8.412995695795677e-05
GEMM_time: 2.8136464901621516e-05, Reduction_time:8.412995695795677e-05
GEMM_time: 2.8136464901621516e-05, Reduction_time:8.412995695795677e-05
GEMM_time: 8.524121845291395e-05, Reduction_time:8.412995695795677e-05
GEMM_time: 2.8189064642105475e-05, Reduction_time:8.438987087387033e-05
GEMM_time: 9.298036653137202e-06, Reduction_time:8.400119504304702e-05
GEMM_time: 9.276591461761887e-06, Reduction_time:8.412995695795677e-05
GEMM_time: 2.8136464901621516e-05, Reduction_time:8.412995695795677e-05
GEMM_time: 2.8136464901621516e-05, Reduction_time:8.412995695795677e-05
GEMM_time: 8.524121845291395e-05, Reduction_time:8.412995695795677e-05
GEMM_time: 2.8189064642105475e-05, Reduction_time:8.438987087387033e-05
GEMM_time: 9.298036653137202e-06, Reduction_time:8.400120558257098e-05
GEMM_time: 9.278140527342162e-06, Reduction_time:8.412995695795677e-05
GEMM_time: 2.8136464901621516e-05, Reduction_time:8.412995695795677e-05
GEMM_time: 2.8136464901621516e-05, Reduction_time:8.412995695795677e-05
GEMM_time: 8.524121845291395e-05, Reduction_time:8.412995695795677e-05
GEMM_time: 2.8189064642105475e-05, Reduction_time:8.438987087387033e-05
GEMM_time: 9.298036653137202e-06, Reduction_time:8.400121612209496e-05
GEMM_time: 9.279689592922438e-06, Reduction_time:8.412995695795677e-05
GEMM_time: 2.8136464901621516e-05, Reduction_time:8.412995695795677e-05
GEMM_time: 2.8136464901621516e-05, Reduction_time:8.412995695795677e-05
GEMM_time: 8.524121845291395e-05, Reduction_time:8.412995695795677e-05
GEMM_time: 2.8189064642105475e-05, Reduction_time:8.438987087387033e-05
GEMM_time: 9.298036653137202e-06, Reduction_time:8.40012268072203e-05
GEMM_time: 9.281238658502714e-06, Reduction_time:8.412995695795677e-05
GEMM_time: 2.8136464901621516e-05, Reduction_time:8.412995695795677e-05
GEMM_time: 2.8136464901621516e-05, Reduction_time:8.412995695795677e-05
GEMM_time: 8.524121845291395e-05, Reduction_time:8.412995695795677e-05
GEMM_time: 2.8189064642105475e-05, Reduction_time:8.438987087387033e-05
GEMM_time: 9.298036653137202e-06, Reduction_time:8.400123734674427e-05
GEMM_time: 9.28278772408299e-06, Reduction_time:8.412995695795677e-05
GEMM_time: 2.8136464901621516e-05, Reduction_time:8.412995695795677e-05
GEMM_time: 2.8136464901621516e-05, Reduction_time:8.412995695795677e-05
GEMM_time: 8.524121845291395e-05, Reduction_time:8.412995695795677e-05
GEMM_time: 2.8189064642105475e-05, Reduction_time:8.438987087387033e-05
GEMM_time: 9.298036653137202e-06, Reduction_time:8.400124788626825e-05
GEMM_time: 9.284336789663267e-06, Reduction_time:8.412995695795677e-05
GEMM_time: 2.8136464901621516e-05, Reduction_time:8.412995695795677e-05
GEMM_time: 2.8136464901621516e-05, Reduction_time:8.412995695795677e-05
GEMM_time: 8.524121845291395e-05, Reduction_time:8.412995695795677e-05
GEMM_time: 2.8189064642105475e-05, Reduction_time:8.438987087387033e-05
GEMM_time: 9.298036653137202e-06, Reduction_time:8.400125842579221e-05
GEMM_time: 9.285885855243542e-06, Reduction_time:8.412995695795677e-05
GEMM_time: 2.8136464901621516e-05, Reduction_time:8.412995695795677e-05
GEMM_time: 2.8136464901621516e-05, Reduction_time:8.412995695795677e-05
GEMM_time: 8.524121845291395e-05, Reduction_time:8.412995695795677e-05
GEMM_time: 2.8189064642105475e-05, Reduction_time:8.438987087387033e-05
GEMM_time: 9.298036653137202e-06, Reduction_time:8.400126911091756e-05
GEMM_time: 9.287434920823818e-06, Reduction_time:8.412995695795677e-05
GEMM_time: 2.8136464901621516e-05, Reduction_time:8.412995695795677e-05
GEMM_time: 2.8136464901621516e-05, Reduction_time:8.412995695795677e-05
GEMM_time: 8.524121845291395e-05, Reduction_time:8.412995695795677e-05
GEMM_time: 2.8189064642105475e-05, Reduction_time:8.438987087387033e-05
GEMM_time: 9.298036653137202e-06, Reduction_time:8.400127965044153e-05
GEMM_time: 9.288983986404094e-06, Reduction_time:8.412995695795677e-05
GEMM_time: 2.8136464901621516e-05, Reduction_time:8.412995695795677e-05
GEMM_time: 2.8136464901621516e-05, Reduction_time:8.412995695795677e-05
GEMM_time: 8.524121845291395e-05, Reduction_time:8.412995695795677e-05
GEMM_time: 2.8189064642105475e-05, Reduction_time:8.438987087387033e-05
GEMM_time: 9.298036653137202e-06, Reduction_time:8.40012901899655e-05
GEMM_time: 9.29053305198437e-06, Reduction_time:8.412995695795677e-05
GEMM_time: 2.8136464901621516e-05, Reduction_time:8.412995695795677e-05
GEMM_time: 2.8136464901621516e-05, Reduction_time:8.412995695795677e-05
GEMM_time: 8.524121845291395e-05, Reduction_time:8.412995695795677e-05
GEMM_time: 2.8189064642105475e-05, Reduction_time:8.438987087387033e-05
GEMM_time: 9.298036653137202e-06, Reduction_time:8.400130072948946e-05
GEMM_time: 9.292082117564645e-06, Reduction_time:8.412995695795677e-05
GEMM_time: 2.8136464901621516e-05, Reduction_time:8.412995695795677e-05
GEMM_time: 2.8136464901621516e-05, Reduction_time:8.412995695795677e-05
GEMM_time: 8.524121845291395e-05, Reduction_time:8.412995695795677e-05
GEMM_time: 2.8189064642105475e-05, Reduction_time:8.438987087387033e-05
GEMM_time: 9.298036653137202e-06, Reduction_time:8.40013114146148e-05
GEMM_time: 9.293631183144922e-06, Reduction_time:8.412995695795677e-05
GEMM_time: 2.8136464901621516e-05, Reduction_time:8.412995695795677e-05
GEMM_time: 2.8136464901621516e-05, Reduction_time:8.412995695795677e-05
GEMM_time: 8.524121845291395e-05, Reduction_time:8.412995695795677e-05
GEMM_time: 2.8189064642105475e-05, Reduction_time:8.438987087387033e-05
GEMM_time: 9.298036653137202e-06, Reduction_time:8.400132195413878e-05
GEMM_time: 9.295180248725198e-06, Reduction_time:8.412995695795677e-05
GEMM_time: 2.8136464901621516e-05, Reduction_time:8.412995695795677e-05
GEMM_time: 2.8136464901621516e-05, Reduction_time:8.412995695795677e-05
GEMM_time: 8.524121845291395e-05, Reduction_time:8.412995695795677e-05
GEMM_time: 2.8189064642105475e-05, Reduction_time:8.438987087387033e-05
GEMM_time: 9.298036653137202e-06, Reduction_time:8.400133249366274e-05
GEMM_time: 9.296729314305474e-06, Reduction_time:8.412995695795677e-05
GEMM_time: 2.8136464901621516e-05, Reduction_time:8.412995695795677e-05
GEMM_time: 2.8136464901621516e-05, Reduction_time:8.412995695795677e-05
GEMM_time: 8.524121845291395e-05, Reduction_time:8.412995695795677e-05
GEMM_time: 2.8189064642105475e-05, Reduction_time:8.438987087387033e-05
GEMM_time: 9.298036653137202e-06, Reduction_time:8.400134303318672e-05
GEMM_time: 9.298278379885749e-06, Reduction_time:8.412995695795677e-05
GEMM_time: 2.8136464901621516e-05, Reduction_time:8.412995695795677e-05
GEMM_time: 2.8136464901621516e-05, Reduction_time:8.412995695795677e-05
GEMM_time: 8.524121845291395e-05, Reduction_time:8.412995695795677e-05
GEMM_time: 2.8189064642105475e-05, Reduction_time:8.438987087387033e-05
GEMM_time: 9.32279148657805e-06, Reduction_time:8.400135371831204e-05
GEMM_time: 9.299827445466025e-06, Reduction_time:8.412995695795677e-05
GEMM_time: 2.8136464901621516e-05, Reduction_time:8.412995695795677e-05
GEMM_time: 2.8136464901621516e-05, Reduction_time:8.412995695795677e-05
GEMM_time: 8.524121845291395e-05, Reduction_time:8.412995695795677e-05
GEMM_time: 2.8189064642105475e-05, Reduction_time:8.438987087387033e-05
GEMM_time: 9.32279148657805e-06, Reduction_time:8.400136425783602e-05
GEMM_time: 9.301376511046302e-06, Reduction_time:8.412995695795677e-05
GEMM_time: 2.8136464901621516e-05, Reduction_time:8.412995695795677e-05
GEMM_time: 2.8136464901621516e-05, Reduction_time:8.412995695795677e-05
GEMM_time: 8.524121845291395e-05, Reduction_time:8.412995695795677e-05
GEMM_time: 2.8189064642105475e-05, Reduction_time:8.438987087387033e-05
GEMM_time: 9.32279148657805e-06, Reduction_time:8.400137479735999e-05
GEMM_time: 9.302925576626578e-06, Reduction_time:8.412995695795677e-05
GEMM_time: 2.8136464901621516e-05, Reduction_time:8.412995695795677e-05
GEMM_time: 2.8136464901621516e-05, Reduction_time:8.412995695795677e-05
GEMM_time: 8.524121845291395e-05, Reduction_time:8.412995695795677e-05
GEMM_time: 2.8189064642105475e-05, Reduction_time:8.438987087387033e-05
GEMM_time: 9.32279148657805e-06, Reduction_time:8.400138533688397e-05
GEMM_time: 9.304474642206854e-06, Reduction_time:8.412995695795677e-05
GEMM_time: 2.8136464901621516e-05, Reduction_time:8.412995695795677e-05
GEMM_time: 2.8136464901621516e-05, Reduction_time:8.412995695795677e-05
GEMM_time: 8.524121845291395e-05, Reduction_time:8.412995695795677e-05
GEMM_time: 2.8189064642105475e-05, Reduction_time:8.438987087387033e-05
GEMM_time: 9.32279148657805e-06, Reduction_time:8.400139602200932e-05
GEMM_time: 9.306023707787129e-06, Reduction_time:8.412995695795677e-05
GEMM_time: 2.8136464901621516e-05, Reduction_time:8.412995695795677e-05
GEMM_time: 2.8136464901621516e-05, Reduction_time:8.412995695795677e-05
GEMM_time: 8.524121845291395e-05, Reduction_time:8.412995695795677e-05
GEMM_time: 2.8189064642105475e-05, Reduction_time:8.438987087387033e-05
GEMM_time: 9.32279148657805e-06, Reduction_time:8.400140656153328e-05
GEMM_time: 9.307572773367405e-06, Reduction_time:8.412995695795677e-05
GEMM_time: 2.8136464901621516e-05, Reduction_time:8.412995695795677e-05
GEMM_time: 2.8136464901621516e-05, Reduction_time:8.412995695795677e-05
GEMM_time: 8.524121845291395e-05, Reduction_time:8.412995695795677e-05
GEMM_time: 2.8189064642105475e-05, Reduction_time:8.438987087387033e-05
