GEMM_time: 2.248714963689813e-05, Reduction_time:0
GEMM_time: 9.647833387791737e-06, Reduction_time:0
GEMM_time: 9.647833387791737e-06, Reduction_time:0
GEMM_time: 2.2363385541641756e-05, Reduction_time:0
GEMM_time: 2.2363385541641756e-05, Reduction_time:0
GEMM_time: 6.206071909512474e-05, Reduction_time:0
GEMM_time: 9.941531387277085e-06, Reduction_time:8.408122309872298e-05
GEMM_time: 9.13610994745387e-06, Reduction_time:8.400106813195526e-05
GEMM_time: 9.13307829114917e-06, Reduction_time:8.402707436624099e-05
GEMM_time: 9.930573108009593e-06, Reduction_time:8.402707436624099e-05
GEMM_time: 9.930573108009593e-06, Reduction_time:8.402707436624099e-05
GEMM_time: 1.2421325525044185e-05, Reduction_time:8.402707436624099e-05
GEMM_time: 9.941531387277085e-06, Reduction_time:8.408122309872298e-05
GEMM_time: 9.13610994745387e-06, Reduction_time:8.400107867147924e-05
GEMM_time: 9.133402607870137e-06, Reduction_time:8.402707436624099e-05
GEMM_time: 9.930573108009593e-06, Reduction_time:8.402707436624099e-05
GEMM_time: 9.930573108009593e-06, Reduction_time:8.402707436624099e-05
GEMM_time: 1.2421325525044185e-05, Reduction_time:8.402707436624099e-05
GEMM_time: 9.941531387277085e-06, Reduction_time:8.408122309872298e-05
GEMM_time: 9.13610994745387e-06, Reduction_time:8.40010892110032e-05
GEMM_time: 9.133726924591105e-06, Reduction_time:8.402707436624099e-05
GEMM_time: 9.930573108009593e-06, Reduction_time:8.402707436624099e-05
GEMM_time: 9.930573108009593e-06, Reduction_time:8.402707436624099e-05
GEMM_time: 1.2421325525044185e-05, Reduction_time:8.402707436624099e-05
GEMM_time: 9.941531387277085e-06, Reduction_time:8.408122309872298e-05
GEMM_time: 9.13610994745387e-06, Reduction_time:8.400109989612856e-05
GEMM_time: 9.134051241312074e-06, Reduction_time:8.402707436624099e-05
GEMM_time: 9.930573108009593e-06, Reduction_time:8.402707436624099e-05
GEMM_time: 9.930573108009593e-06, Reduction_time:8.402707436624099e-05
GEMM_time: 1.2421325525044185e-05, Reduction_time:8.402707436624099e-05
GEMM_time: 9.941531387277085e-06, Reduction_time:8.408122309872298e-05
GEMM_time: 9.13610994745387e-06, Reduction_time:8.400111043565252e-05
GEMM_time: 9.134375558033043e-06, Reduction_time:8.402707436624099e-05
GEMM_time: 9.930573108009593e-06, Reduction_time:8.402707436624099e-05
GEMM_time: 9.930573108009593e-06, Reduction_time:8.402707436624099e-05
GEMM_time: 1.2421325525044185e-05, Reduction_time:8.402707436624099e-05
GEMM_time: 9.941531387277085e-06, Reduction_time:8.408122309872298e-05
GEMM_time: 9.13610994745387e-06, Reduction_time:8.400112097517649e-05
GEMM_time: 9.13469987475401e-06, Reduction_time:8.402707436624099e-05
GEMM_time: 9.930573108009593e-06, Reduction_time:8.402707436624099e-05
GEMM_time: 9.930573108009593e-06, Reduction_time:8.402707436624099e-05
GEMM_time: 1.2421325525044185e-05, Reduction_time:8.402707436624099e-05
GEMM_time: 9.941531387277085e-06, Reduction_time:8.408122309872298e-05
GEMM_time: 9.13610994745387e-06, Reduction_time:8.400113151470044e-05
GEMM_time: 9.135024191474978e-06, Reduction_time:8.402707436624099e-05
GEMM_time: 9.930573108009593e-06, Reduction_time:8.402707436624099e-05
GEMM_time: 9.930573108009593e-06, Reduction_time:8.402707436624099e-05
GEMM_time: 1.2421325525044185e-05, Reduction_time:8.402707436624099e-05
GEMM_time: 9.941531387277085e-06, Reduction_time:8.408122309872298e-05
GEMM_time: 9.13610994745387e-06, Reduction_time:8.40011421998258e-05
GEMM_time: 9.135348508195946e-06, Reduction_time:8.402707436624099e-05
GEMM_time: 9.930573108009593e-06, Reduction_time:8.402707436624099e-05
GEMM_time: 9.930573108009593e-06, Reduction_time:8.402707436624099e-05
GEMM_time: 1.2421325525044185e-05, Reduction_time:8.402707436624099e-05
GEMM_time: 9.941531387277085e-06, Reduction_time:8.408122309872298e-05
GEMM_time: 9.13610994745387e-06, Reduction_time:8.400115273934977e-05
GEMM_time: 9.135672824916913e-06, Reduction_time:8.402707436624099e-05
GEMM_time: 9.930573108009593e-06, Reduction_time:8.402707436624099e-05
GEMM_time: 9.930573108009593e-06, Reduction_time:8.402707436624099e-05
GEMM_time: 1.2421325525044185e-05, Reduction_time:8.402707436624099e-05
GEMM_time: 9.941531387277085e-06, Reduction_time:8.408122309872298e-05
GEMM_time: 9.13610994745387e-06, Reduction_time:8.400116327887374e-05
GEMM_time: 9.135997141637882e-06, Reduction_time:8.402707436624099e-05
GEMM_time: 9.930573108009593e-06, Reduction_time:8.402707436624099e-05
GEMM_time: 9.930573108009593e-06, Reduction_time:8.402707436624099e-05
GEMM_time: 1.2421325525044185e-05, Reduction_time:8.402707436624099e-05
GEMM_time: 9.941531387277085e-06, Reduction_time:8.408122309872298e-05
GEMM_time: 9.13610994745387e-06, Reduction_time:8.400117381839772e-05
GEMM_time: 9.13632145835885e-06, Reduction_time:8.402707436624099e-05
GEMM_time: 9.930573108009593e-06, Reduction_time:8.402707436624099e-05
GEMM_time: 9.930573108009593e-06, Reduction_time:8.402707436624099e-05
GEMM_time: 1.2421325525044185e-05, Reduction_time:8.402707436624099e-05
GEMM_time: 9.941531387277085e-06, Reduction_time:8.408122309872298e-05
GEMM_time: 9.141268799145791e-06, Reduction_time:8.400118450352304e-05
GEMM_time: 9.136645775079819e-06, Reduction_time:8.402707436624099e-05
GEMM_time: 9.930573108009593e-06, Reduction_time:8.402707436624099e-05
GEMM_time: 9.930573108009593e-06, Reduction_time:8.402707436624099e-05
GEMM_time: 1.2421325525044185e-05, Reduction_time:8.402707436624099e-05
GEMM_time: 9.941531387277085e-06, Reduction_time:8.408122309872298e-05
GEMM_time: 9.141268799145791e-06, Reduction_time:8.400119504304702e-05
GEMM_time: 9.136970091800786e-06, Reduction_time:8.402707436624099e-05
GEMM_time: 9.930573108009593e-06, Reduction_time:8.402707436624099e-05
GEMM_time: 9.930573108009593e-06, Reduction_time:8.402707436624099e-05
GEMM_time: 1.2421325525044185e-05, Reduction_time:8.402707436624099e-05
GEMM_time: 9.941531387277085e-06, Reduction_time:8.408122309872298e-05
GEMM_time: 9.141268799145791e-06, Reduction_time:8.400120558257098e-05
GEMM_time: 9.137294408521754e-06, Reduction_time:8.402707436624099e-05
GEMM_time: 9.930573108009593e-06, Reduction_time:8.402707436624099e-05
GEMM_time: 9.930573108009593e-06, Reduction_time:8.402707436624099e-05
GEMM_time: 1.2421325525044185e-05, Reduction_time:8.402707436624099e-05
GEMM_time: 9.941531387277085e-06, Reduction_time:8.408122309872298e-05
GEMM_time: 9.141268799145791e-06, Reduction_time:8.400121612209496e-05
GEMM_time: 9.137618725242723e-06, Reduction_time:8.402707436624099e-05
GEMM_time: 9.930573108009593e-06, Reduction_time:8.402707436624099e-05
GEMM_time: 9.930573108009593e-06, Reduction_time:8.402707436624099e-05
GEMM_time: 1.2421325525044185e-05, Reduction_time:8.402707436624099e-05
GEMM_time: 9.941531387277085e-06, Reduction_time:8.408122309872298e-05
GEMM_time: 9.141268799145791e-06, Reduction_time:8.40012268072203e-05
GEMM_time: 9.13794304196369e-06, Reduction_time:8.402707436624099e-05
GEMM_time: 9.930573108009593e-06, Reduction_time:8.402707436624099e-05
GEMM_time: 9.930573108009593e-06, Reduction_time:8.402707436624099e-05
GEMM_time: 1.2421325525044185e-05, Reduction_time:8.402707436624099e-05
GEMM_time: 9.941531387277085e-06, Reduction_time:8.408122309872298e-05
GEMM_time: 9.141268799145791e-06, Reduction_time:8.400123734674427e-05
GEMM_time: 9.138267358684658e-06, Reduction_time:8.402707436624099e-05
GEMM_time: 9.930573108009593e-06, Reduction_time:8.402707436624099e-05
GEMM_time: 9.930573108009593e-06, Reduction_time:8.402707436624099e-05
GEMM_time: 1.2421325525044185e-05, Reduction_time:8.402707436624099e-05
GEMM_time: 9.941531387277085e-06, Reduction_time:8.408122309872298e-05
GEMM_time: 9.141268799145791e-06, Reduction_time:8.400124788626825e-05
GEMM_time: 9.138591675405627e-06, Reduction_time:8.402707436624099e-05
GEMM_time: 9.930573108009593e-06, Reduction_time:8.402707436624099e-05
GEMM_time: 9.930573108009593e-06, Reduction_time:8.402707436624099e-05
GEMM_time: 1.2421325525044185e-05, Reduction_time:8.402707436624099e-05
GEMM_time: 9.941531387277085e-06, Reduction_time:8.408122309872298e-05
GEMM_time: 9.141268799145791e-06, Reduction_time:8.400125842579221e-05
GEMM_time: 9.138915992126595e-06, Reduction_time:8.402707436624099e-05
GEMM_time: 9.930573108009593e-06, Reduction_time:8.402707436624099e-05
GEMM_time: 9.930573108009593e-06, Reduction_time:8.402707436624099e-05
GEMM_time: 1.2421325525044185e-05, Reduction_time:8.402707436624099e-05
GEMM_time: 9.941531387277085e-06, Reduction_time:8.408122309872298e-05
GEMM_time: 9.141268799145791e-06, Reduction_time:8.400126911091756e-05
GEMM_time: 9.139240308847562e-06, Reduction_time:8.402707436624099e-05
GEMM_time: 9.930573108009593e-06, Reduction_time:8.402707436624099e-05
GEMM_time: 9.930573108009593e-06, Reduction_time:8.402707436624099e-05
GEMM_time: 1.2421325525044185e-05, Reduction_time:8.402707436624099e-05
GEMM_time: 9.941531387277085e-06, Reduction_time:8.408122309872298e-05
GEMM_time: 9.141268799145791e-06, Reduction_time:8.400127965044153e-05
GEMM_time: 9.13956462556853e-06, Reduction_time:8.402707436624099e-05
GEMM_time: 9.930573108009593e-06, Reduction_time:8.402707436624099e-05
GEMM_time: 9.930573108009593e-06, Reduction_time:8.402707436624099e-05
GEMM_time: 1.2421325525044185e-05, Reduction_time:8.402707436624099e-05
GEMM_time: 9.941531387277085e-06, Reduction_time:8.408122309872298e-05
GEMM_time: 9.141268799145791e-06, Reduction_time:8.40012901899655e-05
GEMM_time: 9.1398889422895e-06, Reduction_time:8.402707436624099e-05
GEMM_time: 9.930573108009593e-06, Reduction_time:8.402707436624099e-05
GEMM_time: 9.930573108009593e-06, Reduction_time:8.402707436624099e-05
GEMM_time: 1.2421325525044185e-05, Reduction_time:8.402707436624099e-05
GEMM_time: 9.941531387277085e-06, Reduction_time:8.408122309872298e-05
GEMM_time: 9.141268799145791e-06, Reduction_time:8.400130072948946e-05
GEMM_time: 9.140213259010466e-06, Reduction_time:8.402707436624099e-05
GEMM_time: 9.930573108009593e-06, Reduction_time:8.402707436624099e-05
GEMM_time: 9.930573108009593e-06, Reduction_time:8.402707436624099e-05
GEMM_time: 1.2421325525044185e-05, Reduction_time:8.402707436624099e-05
GEMM_time: 9.941531387277085e-06, Reduction_time:8.408122309872298e-05
GEMM_time: 9.141268799145791e-06, Reduction_time:8.40013114146148e-05
GEMM_time: 9.140537575731435e-06, Reduction_time:8.402707436624099e-05
GEMM_time: 9.930573108009593e-06, Reduction_time:8.402707436624099e-05
GEMM_time: 9.930573108009593e-06, Reduction_time:8.402707436624099e-05
GEMM_time: 1.2421325525044185e-05, Reduction_time:8.402707436624099e-05
GEMM_time: 9.941531387277085e-06, Reduction_time:8.408122309872298e-05
GEMM_time: 9.141268799145791e-06, Reduction_time:8.400132195413878e-05
GEMM_time: 9.140861892452403e-06, Reduction_time:8.402707436624099e-05
GEMM_time: 9.930573108009593e-06, Reduction_time:8.402707436624099e-05
GEMM_time: 9.930573108009593e-06, Reduction_time:8.402707436624099e-05
GEMM_time: 1.2421325525044185e-05, Reduction_time:8.402707436624099e-05
GEMM_time: 9.941531387277085e-06, Reduction_time:8.408122309872298e-05
GEMM_time: 9.141268799145791e-06, Reduction_time:8.400133249366274e-05
GEMM_time: 9.141186209173372e-06, Reduction_time:8.402707436624099e-05
GEMM_time: 9.930573108009593e-06, Reduction_time:8.402707436624099e-05
GEMM_time: 9.930573108009593e-06, Reduction_time:8.402707436624099e-05
GEMM_time: 1.2421325525044185e-05, Reduction_time:8.402707436624099e-05
GEMM_time: 9.941531387277085e-06, Reduction_time:8.408122309872298e-05
GEMM_time: 9.141268799145791e-06, Reduction_time:8.400134303318672e-05
GEMM_time: 9.141510525894338e-06, Reduction_time:8.402707436624099e-05
GEMM_time: 9.930573108009593e-06, Reduction_time:8.402707436624099e-05
GEMM_time: 9.930573108009593e-06, Reduction_time:8.402707436624099e-05
GEMM_time: 1.2421325525044185e-05, Reduction_time:8.402707436624099e-05
GEMM_time: 9.941531387277085e-06, Reduction_time:8.408122309872298e-05
GEMM_time: 9.146427650837711e-06, Reduction_time:8.400135371831204e-05
GEMM_time: 9.141834842615307e-06, Reduction_time:8.402707436624099e-05
GEMM_time: 9.930573108009593e-06, Reduction_time:8.402707436624099e-05
GEMM_time: 9.930573108009593e-06, Reduction_time:8.402707436624099e-05
GEMM_time: 1.2421325525044185e-05, Reduction_time:8.402707436624099e-05
GEMM_time: 9.941531387277085e-06, Reduction_time:8.408122309872298e-05
GEMM_time: 9.146427650837711e-06, Reduction_time:8.400136425783602e-05
GEMM_time: 9.142159159336276e-06, Reduction_time:8.402707436624099e-05
GEMM_time: 9.930573108009593e-06, Reduction_time:8.402707436624099e-05
GEMM_time: 9.930573108009593e-06, Reduction_time:8.402707436624099e-05
GEMM_time: 1.2421325525044185e-05, Reduction_time:8.402707436624099e-05
GEMM_time: 9.941531387277085e-06, Reduction_time:8.408122309872298e-05
GEMM_time: 9.146427650837711e-06, Reduction_time:8.400137479735999e-05
