workload,regime,loss_budget,port_budget,best_fixed_depth,pathbudget_assignment,fixed_time_s,pathbudget_time_s,oracle_time_s,speedup,oracle_gap_pct,port_usage,max_loss_db,feasible,feasibility_failures,verdict
LLaMA-13B-like_DP-heavy_TP8_PP2_DP64,reach_only_depth_is_costly,strict,low,none,TP1-PP1-DP3,,0.30049899902000005,0.30049899902000005,,0.0,6.0,10.0,True,"{'reach': 18, 'loss': 0, 'port': 13}",keep_no_fixed_feasible
LLaMA-13B-like_DP-heavy_TP8_PP2_DP64,reach_only_depth_is_costly,strict,medium,TP3-PP3-DP3,TP1-PP1-DP3,0.6331762295266666,0.30049899902000005,0.30049899902000005,2.107082657817855,0.0,6.0,10.0,True,"{'reach': 18, 'loss': 0, 'port': 0}",strong_keep
LLaMA-13B-like_DP-heavy_TP8_PP2_DP64,reach_only_depth_is_costly,strict,high,TP3-PP3-DP3,TP1-PP1-DP3,0.6331762295266666,0.30049899902000005,0.30049899902000005,2.107082657817855,0.0,6.0,10.0,True,"{'reach': 18, 'loss': 0, 'port': 0}",strong_keep
LLaMA-13B-like_DP-heavy_TP8_PP2_DP64,reach_only_depth_is_costly,medium,low,none,TP1-PP1-DP3,,0.30049899902000005,0.30049899902000005,,0.0,6.0,10.0,True,"{'reach': 18, 'loss': 0, 'port': 13}",keep_no_fixed_feasible
LLaMA-13B-like_DP-heavy_TP8_PP2_DP64,reach_only_depth_is_costly,medium,medium,TP3-PP3-DP3,TP1-PP1-DP3,0.6331762295266666,0.30049899902000005,0.30049899902000005,2.107082657817855,0.0,6.0,10.0,True,"{'reach': 18, 'loss': 0, 'port': 0}",strong_keep
LLaMA-13B-like_DP-heavy_TP8_PP2_DP64,reach_only_depth_is_costly,medium,high,TP3-PP3-DP3,TP1-PP1-DP3,0.6331762295266666,0.30049899902000005,0.30049899902000005,2.107082657817855,0.0,6.0,10.0,True,"{'reach': 18, 'loss': 0, 'port': 0}",strong_keep
LLaMA-13B-like_DP-heavy_TP8_PP2_DP64,reach_only_depth_is_costly,relaxed,low,none,TP1-PP1-DP3,,0.30049899902000005,0.30049899902000005,,0.0,6.0,10.0,True,"{'reach': 18, 'loss': 0, 'port': 13}",keep_no_fixed_feasible
LLaMA-13B-like_DP-heavy_TP8_PP2_DP64,reach_only_depth_is_costly,relaxed,medium,TP3-PP3-DP3,TP1-PP1-DP3,0.6331762295266666,0.30049899902000005,0.30049899902000005,2.107082657817855,0.0,6.0,10.0,True,"{'reach': 18, 'loss': 0, 'port': 0}",strong_keep
LLaMA-13B-like_DP-heavy_TP8_PP2_DP64,reach_only_depth_is_costly,relaxed,high,TP3-PP3-DP3,TP1-PP1-DP3,0.6331762295266666,0.30049899902000005,0.30049899902000005,2.107082657817855,0.0,6.0,10.0,True,"{'reach': 18, 'loss': 0, 'port': 0}",strong_keep
LLaMA-13B-like_DP-heavy_TP8_PP2_DP64,extra_parallelism_bandwidth_steering,strict,low,none,none,,,,,,,,False,"{'reach': 18, 'loss': 19, 'port': 21}",infeasible
LLaMA-13B-like_DP-heavy_TP8_PP2_DP64,extra_parallelism_bandwidth_steering,strict,medium,none,none,,,,,,,,False,"{'reach': 18, 'loss': 19, 'port': 7}",infeasible
LLaMA-13B-like_DP-heavy_TP8_PP2_DP64,extra_parallelism_bandwidth_steering,strict,high,none,none,,,,,,,,False,"{'reach': 18, 'loss': 19, 'port': 0}",infeasible
LLaMA-13B-like_DP-heavy_TP8_PP2_DP64,extra_parallelism_bandwidth_steering,medium,low,none,none,,,0.29034745510111115,,,,,False,"{'reach': 18, 'loss': 0, 'port': 21}",infeasible
LLaMA-13B-like_DP-heavy_TP8_PP2_DP64,extra_parallelism_bandwidth_steering,medium,medium,none,TP2-PP2-DP3,,0.29034745510111115,0.29034745510111115,,0.0,12.0,10.5,True,"{'reach': 18, 'loss': 0, 'port': 7}",keep_no_fixed_feasible
LLaMA-13B-like_DP-heavy_TP8_PP2_DP64,extra_parallelism_bandwidth_steering,medium,high,TP3-PP3-DP3,TP2-PP2-DP3,0.4441511147633334,0.29034745510111115,0.29034745510111115,1.529722775109778,0.0,12.0,10.5,True,"{'reach': 18, 'loss': 0, 'port': 0}",strong_keep
LLaMA-13B-like_DP-heavy_TP8_PP2_DP64,extra_parallelism_bandwidth_steering,relaxed,low,none,none,,,0.29034745510111115,,,,,False,"{'reach': 18, 'loss': 0, 'port': 21}",infeasible
