dataset_id,dataset_label,network_mode,analytical_v28_ms,astra_proxy_ms,relative_difference_vs_v28,astra_proxy_name,support_status,notes
qwen_mmlu_ml,Qwen MMLU ML,EN ECMP-imbalance 1.3x,408.08053145604174,106.7914484,-0.7383079069737403,ASTRA congestion-aware 1D Switch 400Gbps x 1.3,approximation,Not folded-Clos ECMP; 1.3x imbalance applied externally.
qwen_mmlu_ml,Qwen MMLU ML,SON torus ECMP,201.300131840001,20.536755,-0.8979794259830729,ASTRA congestion-aware 1D Switch 1.6Tbps,unsupported_target_topology,Proxy only. Does not model degree-4 torus ECMP or RON custom topology/reconfiguration.
qwen_mmlu_ml,Qwen MMLU ML,RON calibrated,167.6804096000024,20.536755,-0.8775244225071376,ASTRA congestion-aware 1D Switch 1.6Tbps,unsupported_target_topology,Proxy only. Does not model degree-4 torus ECMP or RON custom topology/reconfiguration.
qwen_mmlu_ml,Qwen MMLU ML,RON W=4 1us,166.2411328,20.536755,-0.8764640576366428,ASTRA congestion-aware 1D Switch 1.6Tbps,unsupported_target_topology,Proxy only. Does not model degree-4 torus ECMP or RON custom topology/reconfiguration. V2.8 includes per-request 1us reconfiguration externally; ASTRA proxy does not.
qwen_mmlu_ml,Qwen MMLU ML,RON oracle,142.11973120000002,20.536755,-0.8554968066249763,ASTRA congestion-aware 1D Switch 1.6Tbps,unsupported_target_topology,Proxy only. Does not model degree-4 torus ECMP or RON custom topology/reconfiguration.
qwen_livecode,Qwen LiveCodeBench,EN ECMP-imbalance 1.3x,2529.6412344332066,1521.4335188,-0.39855759066131224,ASTRA congestion-aware 1D Switch 400Gbps x 1.3,approximation,Not folded-Clos ECMP; 1.3x imbalance applied externally.
qwen_livecode,Qwen LiveCodeBench,SON torus ECMP,1979.799060480006,292.583302,-0.8522156577197978,ASTRA congestion-aware 1D Switch 1.6Tbps,unsupported_target_topology,Proxy only. Does not model degree-4 torus ECMP or RON custom topology/reconfiguration.
qwen_livecode,Qwen LiveCodeBench,RON calibrated,1410.5151078400215,292.583302,-0.7925698914008482,ASTRA congestion-aware 1D Switch 1.6Tbps,unsupported_target_topology,Proxy only. Does not model degree-4 torus ECMP or RON custom topology/reconfiguration.
qwen_livecode,Qwen LiveCodeBench,RON W=4 1us,1426.10311008,292.583302,-0.7948372036131476,ASTRA congestion-aware 1D Switch 1.6Tbps,unsupported_target_topology,Proxy only. Does not model degree-4 torus ECMP or RON custom topology/reconfiguration. V2.8 includes per-request 1us reconfiguration externally; ASTRA proxy does not.
qwen_livecode,Qwen LiveCodeBench,RON oracle,1286.85801472,292.583302,-0.7726374637658363,ASTRA congestion-aware 1D Switch 1.6Tbps,unsupported_target_topology,Proxy only. Does not model degree-4 torus ECMP or RON custom topology/reconfiguration.
qwen_mmlu_zh_anatomy,Qwen ZH Anatomy,EN ECMP-imbalance 1.3x,333.1399352319975,47.6489481,-0.8569701706076834,ASTRA congestion-aware 1D Switch 400Gbps x 1.3,approximation,Not folded-Clos ECMP; 1.3x imbalance applied externally.
qwen_mmlu_zh_anatomy,Qwen ZH Anatomy,SON torus ECMP,106.60036607999925,9.163198,-0.914041589752859,ASTRA congestion-aware 1D Switch 1.6Tbps,unsupported_target_topology,Proxy only. Does not model degree-4 torus ECMP or RON custom topology/reconfiguration.
qwen_mmlu_zh_anatomy,Qwen ZH Anatomy,RON calibrated,111.22917376000075,9.163198,-0.9176187533338023,ASTRA congestion-aware 1D Switch 1.6Tbps,unsupported_target_topology,Proxy only. Does not model degree-4 torus ECMP or RON custom topology/reconfiguration.
qwen_mmlu_zh_anatomy,Qwen ZH Anatomy,RON W=4 1us,113.89133216,9.163198,-0.9195443777308084,ASTRA congestion-aware 1D Switch 1.6Tbps,unsupported_target_topology,Proxy only. Does not model degree-4 torus ECMP or RON custom topology/reconfiguration. V2.8 includes per-request 1us reconfiguration externally; ASTRA proxy does not.
qwen_mmlu_zh_anatomy,Qwen ZH Anatomy,RON oracle,103.66730240000001,9.163198,-0.9116095645602523,ASTRA congestion-aware 1D Switch 1.6Tbps,unsupported_target_topology,Proxy only. Does not model degree-4 torus ECMP or RON custom topology/reconfiguration.
deepseek_livecode,DeepSeek LiveCodeBench,EN ECMP-imbalance 1.3x,1422.0136120320196,807.398358,-0.43221474733547083,ASTRA congestion-aware 1D Switch 400Gbps x 1.3,approximation,Not folded-Clos ECMP; 1.3x imbalance applied externally.
deepseek_livecode,DeepSeek LiveCodeBench,SON torus ECMP,1123.326689280027,155.268842,-0.8617776614036329,ASTRA congestion-aware 1D Switch 1.6Tbps,unsupported_target_topology,Proxy only. Does not model degree-4 torus ECMP or RON custom topology/reconfiguration.
deepseek_livecode,DeepSeek LiveCodeBench,RON calibrated,770.5975193599974,155.268842,-0.7985085104751503,ASTRA congestion-aware 1D Switch 1.6Tbps,unsupported_target_topology,Proxy only. Does not model degree-4 torus ECMP or RON custom topology/reconfiguration.
deepseek_livecode,DeepSeek LiveCodeBench,RON W=4 1us,779.0164364799999,155.268842,-0.8006860513732096,ASTRA congestion-aware 1D Switch 1.6Tbps,unsupported_target_topology,Proxy only. Does not model degree-4 torus ECMP or RON custom topology/reconfiguration. V2.8 includes per-request 1us reconfiguration externally; ASTRA proxy does not.
deepseek_livecode,DeepSeek LiveCodeBench,RON oracle,692.7613952,155.268842,-0.7758696672825223,ASTRA congestion-aware 1D Switch 1.6Tbps,unsupported_target_topology,Proxy only. Does not model degree-4 torus ECMP or RON custom topology/reconfiguration.
