dataset_id,dataset_label,network_mode,v28_reference_ms,v30_graph_ms,relative_difference_vs_v28,support_status,routing,max_link_load_bytes,message_count,average_hop_count,max_hop_count,reconfigurations,exposed_reconfiguration_time_ms,notes
qwen_mmlu_ml,Qwen MMLU ML,EN folded-Clos ECMP / 1.3x imbalance,408.08053145604174,404.8043950079998,-0.008028161589460297,faithful_graph_model_not_core_astra,ECMP equal-shortest-path,116828160.0,18910,3.5501978247940604,4,0,0.0,Explicit folded-Clos graph with ECMP; 1.3x imbalance applied externally.
qwen_mmlu_ml,Qwen MMLU ML,SON 2D torus ECMP,201.300131840001,148.28534169599993,-0.2633619246019109,faithful_graph_model_not_core_astra,ECMP equal-shortest-path,65081070.93333335,18910,3.1000499157852475,6,0,0.0,Explicit 4x8 torus graph with equal-shortest-path ECMP.
qwen_mmlu_ml,Qwen MMLU ML,RON calibrated,167.6804096000024,125.10281727999998,-0.25392108965841775,faithful_graph_model_not_core_astra,deterministic shortest-path,57262080.0,18910,2.4849194746363192,4,1,0.0,Degree-4 RON graph selected from first 10% requests; reused for eval.
qwen_mmlu_ml,Qwen MMLU ML,RON W=4 1us,166.2411328,126.72587392000005,-0.23769844571222717,segmented_run_approximation,deterministic shortest-path,72687616.0,18910,2.5331217179650167,5,100,0.1,One graph timing run per request; previous 4 requests select topology; +1us/request.
qwen_mmlu_ml,Qwen MMLU ML,RON oracle,142.11973120000002,115.33746176000007,-0.18844863562477626,segmented_run_approximation,deterministic shortest-path,57180160.0,18910,2.5242174706312297,5,100,0.0,One graph timing run per request; current request selects topology; no reconfig penalty.
qwen_livecode,Qwen LiveCodeBench,EN folded-Clos ECMP / 1.3x imbalance,2529.6412344332066,2438.888857600003,-0.035875592000119146,faithful_graph_model_not_core_astra,ECMP equal-shortest-path,149325824.0,210118,3.5485254042240775,4,0,0.0,Explicit folded-Clos graph with ECMP; 1.3x imbalance applied externally.
qwen_livecode,Qwen LiveCodeBench,SON 2D torus ECMP,1979.799060480006,1062.8560595626657,-0.46314952826324995,faithful_graph_model_not_core_astra,ECMP equal-shortest-path,82511052.80000007,210118,3.097187498433813,6,0,0.0,Explicit 4x8 torus graph with equal-shortest-path ECMP.
qwen_livecode,Qwen LiveCodeBench,RON calibrated,1410.5151078400215,874.4502886400002,-0.38004897375464414,faithful_graph_model_not_core_astra,deterministic shortest-path,75431936.0,210118,2.4860681061875205,4,1,0.0,Degree-4 RON graph selected from first 10% requests; reused for eval.
qwen_livecode,Qwen LiveCodeBench,RON W=4 1us,1426.10311008,904.60694368,-0.3656791452973872,segmented_run_approximation,deterministic shortest-path,169099264.0,210118,2.4981673739457517,5,431,0.431,One graph timing run per request; previous 4 requests select topology; +1us/request.
qwen_livecode,Qwen LiveCodeBench,RON oracle,1286.85801472,853.1569868799997,-0.33702321691982995,segmented_run_approximation,deterministic shortest-path,90021888.0,210118,2.54157165147137,5,431,0.0,One graph timing run per request; current request selects topology; no reconfig penalty.
qwen_mmlu_zh_anatomy,Qwen ZH Anatomy,EN folded-Clos ECMP / 1.3x imbalance,333.1399352319975,332.9482424319999,-0.0005754122509032632,faithful_graph_model_not_core_astra,ECMP equal-shortest-path,96477184.0,12462,3.549967198176511,4,0,0.0,Explicit folded-Clos graph with ECMP; 1.3x imbalance applied externally.
qwen_mmlu_zh_anatomy,Qwen ZH Anatomy,SON 2D torus ECMP,106.60036607999925,93.59621051733325,-0.1219897833456492,faithful_graph_model_not_core_astra,ECMP equal-shortest-path,51160132.266666666,12462,3.092938977065511,6,0,0.0,Explicit 4x8 torus graph with equal-shortest-path ECMP.
qwen_mmlu_zh_anatomy,Qwen ZH Anatomy,RON calibrated,111.22917376000075,90.20669951999999,-0.18900144206196268,faithful_graph_model_not_core_astra,deterministic shortest-path,37871616.0,12462,2.534579384695032,4,1,0.0,Degree-4 RON graph selected from first 10% requests; reused for eval.
qwen_mmlu_zh_anatomy,Qwen ZH Anatomy,RON W=4 1us,113.89133216,93.08070303999995,-0.18272355521106987,segmented_run_approximation,deterministic shortest-path,51273728.0,12462,2.532502138721583,5,121,0.121,One graph timing run per request; previous 4 requests select topology; +1us/request.
qwen_mmlu_zh_anatomy,Qwen ZH Anatomy,RON oracle,103.66730240000001,83.18599167999994,-0.19756770211858107,segmented_run_approximation,deterministic shortest-path,36806656.0,12462,2.50058672093047,5,121,0.0,One graph timing run per request; current request selects topology; no reconfig penalty.
