workload,method,penalty_us,total_cycles,total_ms,normalised_to_fair_universal_static,gain_vs_fair_static_percent,number_of_reconfigurations,selected_candidate_name,graph_hash,selection_signal,evaluation_target,no_leakage,observed_bytes,evaluated_bytes,dominant_bottleneck,sender_bottleneck_time_ms,receiver_bottleneck_time_ms,optical_resource_bottleneck_time_ms,byte_conservation,same_budget_check,shuffled_order_control
qwen_mmlu_machine_learning,static SON / torus,1,160033936,160.033936,3.470392036445268,-247.0392036445268,0,son_torus,c4e5cfbd019d5a9529a3d3c3229dfbca4ba9ab035a4ab8014f11713b7272ab1b,static SON/torus reference; no target-specific selection,full inference prefill+decode with sequential accounting,True,221875322880,221875322880,optical_resource,3.199424,5.295944,63.489023,True,True,
qwen_mmlu_machine_learning,full-prefill-informed decode OCS,1,46115080,46.11508,1.0000216853507649,-0.002168535076488569,1,random_regular_seed_11,bf8048120d2c00d0a25647cb479254cb38e3dd34754b774a69dc310eaf2e7444,full prefill trace[0] selects decode topology,full inference prefill+decode with sequential accounting,True,46600339456,221875322880,optical_resource,3.199424,5.295944,18.198966,True,True,
qwen_mmlu_machine_learning,prefill10-warmup OCS,1,52529366,52.529366,1.1391177271670605,-13.911772716706047,1,random_regular_seed_24,e6adf16e6d662ab53573532f6fb9a6ddcf19509cc3adfedfff89d8b7d079e7cc,prefill first 10% selects remaining prefill+decode,full inference prefill+decode with sequential accounting,True,5147099136,221875322880,optical_resource,5.295944,3.199424,20.274569,True,True,
qwen_mmlu_machine_learning,phase-warmup OCS,1,54114646,54.114646,1.1734950800276185,-17.349508002761848,2,prefill:random_regular_seed_24 decode:random_regular_seed_27,multi,prefill10 selects prefill90; decode10 selects decode90,full inference prefill+decode with sequential accounting,True,23928881152,221875322880,optical_resource,3.199424,4.747695,18.608792,True,True,
qwen_mmlu_machine_learning,oracle,1,46114080,46.11408,1.0,0.0,0,random_regular_seed_11,bf8048120d2c00d0a25647cb479254cb38e3dd34754b774a69dc310eaf2e7444,full prefill+decode oracle upper bound,full inference prefill+decode with sequential accounting,False,221875322880,221875322880,optical_resource,3.199424,5.295944,18.198966,True,True,
qwen_mmlu_machine_learning,previous-request OCS W=16,1,59214731,59.214731,1.2840922121833505,-28.409221218335052,6,"window_selected_counts={'random_regular_seed_8': 2, 'random_regular_seed_11': 2, 'random_regular_seed_0': 1, 'random_regular_seed_26': 1}",window_dynamic,previous non-overlapping W=16 requests select next W requests,full inference prefill+decode with sequential accounting,True,31986434048,221875322880,optical_resource,0.458183,0.78453,3.070755,True,True,
deepseek_mmlu_machine_learning,static SON / torus,1,93855373,93.855373,3.5456540193609203,-254.56540193609206,0,son_torus,c4e5cfbd019d5a9529a3d3c3229dfbca4ba9ab035a4ab8014f11713b7272ab1b,static SON/torus reference; no target-specific selection,full inference prefill+decode with sequential accounting,True,131539206144,131539206144,optical_resource,2.359161,1.971282,37.132822,True,True,
deepseek_mmlu_machine_learning,full-prefill-informed decode OCS,1,26163362,26.163362,0.9883955139712115,1.1604486028788459,1,random_regular_seed_27,1976e348a1f7084da14c994d5af718e06ff4238c528669842f88a59559e7870e,full prefill trace[0] selects decode topology,full inference prefill+decode with sequential accounting,True,27984723968,131539206144,optical_resource,2.359161,1.971282,9.961458,True,True,
deepseek_mmlu_machine_learning,prefill10-warmup OCS,1,30298594,30.298594,1.1446156800962761,-14.461568009627609,1,random_regular_seed_24,e6adf16e6d662ab53573532f6fb9a6ddcf19509cc3adfedfff89d8b7d079e7cc,prefill first 10% selects remaining prefill+decode,full inference prefill+decode with sequential accounting,True,3115483136,131539206144,optical_resource,1.971282,2.359161,11.314913,True,True,
deepseek_mmlu_machine_learning,phase-warmup OCS,1,28154474,28.154474,1.0636154405469416,-6.361544054694164,2,prefill:random_regular_seed_24 decode:random_regular_seed_27,multi,prefill10 selects prefill90; decode10 selects decode90,full inference prefill+decode with sequential accounting,True,14348877824,131539206144,optical_resource,1.689491,2.104835,8.881429,True,True,
deepseek_mmlu_machine_learning,oracle,1,24888978,24.888978,0.9402520288687737,5.97479711312263,0,signal_greedy,040a28a0c6caca24981f5a0878c378de7028fef8b5912db51accd8703c8dbb63,full prefill+decode oracle upper bound,full inference prefill+decode with sequential accounting,False,131539206144,131539206144,optical_resource,2.359161,1.971282,9.827359,True,True,
deepseek_mmlu_machine_learning,previous-request OCS W=16,1,32564973,32.564973,1.2302346015696923,-23.023460156969225,6,"window_selected_counts={'random_regular_seed_8': 2, 'random_regular_seed_27': 2, 'random_regular_seed_11': 2}",window_dynamic,previous non-overlapping W=16 requests select next W requests,full inference prefill+decode with sequential accounting,True,19296108544,131539206144,optical_resource,0.281982,0.35778,1.602312,True,True,
qwen_livecodebench_execution,static SON / torus,1,1097089829,1097.089829,3.41413331539001,-241.413331539001,0,son_torus,c4e5cfbd019d5a9529a3d3c3229dfbca4ba9ab035a4ab8014f11713b7272ab1b,static SON/torus reference; no target-specific selection,full inference prefill+decode with sequential accounting,True,1389438582784,1389438582784,optical_resource,13.721466,37.66056,295.536371,True,True,
qwen_livecodebench_execution,full-prefill-informed decode OCS,1,322421513,322.421513,1.0033727412595976,-0.33727412595976436,1,random_regular_seed_2,22090398f38a3a41f32d9023f12e58e35133ffc55af596b2423b18e4e9ecd62d,full prefill trace[0] selects decode topology,full inference prefill+decode with sequential accounting,True,639855820800,1389438582784,optical_resource,37.66056,13.721466,84.320844,True,True,
qwen_livecodebench_execution,prefill10-warmup OCS,1,318264382,318.264382,0.9904357883607839,0.9564211639216067,1,random_regular_seed_2,22090398f38a3a41f32d9023f12e58e35133ffc55af596b2423b18e4e9ecd62d,prefill first 10% selects remaining prefill+decode,full inference prefill+decode with sequential accounting,True,65425473536,1389438582784,optical_resource,37.66056,13.721466,84.320844,True,True,
qwen_livecodebench_execution,phase-warmup OCS,1,318375409,318.375409,0.9907813033492451,0.9218696650754893,2,prefill:random_regular_seed_2 decode:random_regular_seed_2,multi,prefill10 selects prefill90; decode10 selects decode90,full inference prefill+decode with sequential accounting,True,140536561664,1389438582784,optical_resource,33.770179,12.349319,75.947138,True,True,
qwen_livecodebench_execution,oracle,1,315926359,315.926359,0.9831598825913138,1.6840117408686195,0,random_regular_seed_2,22090398f38a3a41f32d9023f12e58e35133ffc55af596b2423b18e4e9ecd62d,full prefill+decode oracle upper bound,full inference prefill+decode with sequential accounting,False,1389438582784,1389438582784,optical_resource,37.66056,13.721466,84.320844,True,True,
qwen_livecodebench_execution,previous-request OCS W=16,1,337885378,337.885378,1.0514961449095221,-5.149614490952205,29,"window_selected_counts={'random_regular_seed_8': 5, 'random_regular_seed_10': 5, 'random_regular_seed_26': 3, 'random_regular_seed_14': 4, 'random_regular_seed_11': 9, 'random_regular_seed_3': 1, 'random_regular_seed_4': 1, 'random_regular_seed_2': 1}",window_dynamic,previous non-overlapping W=16 requests select next W requests,full inference prefill+decode with sequential accounting,True,49479712768,1389438582784,optical_resource,1.717643,0.914916,4.040095,True,True,
qwen_mmlu_machine_learning,previous-request OCS W=16,1,68981309,68.981309,1.4958838818859663,-49.588388188596625,6,"window_selected_counts={'random_regular_seed_14': 2, 'random_regular_seed_26': 1, 'random_regular_seed_7': 1, 'random_regular_seed_27': 1, 'random_regular_seed_11': 1}",window_dynamic,previous non-overlapping W=16 requests select next W requests,full inference prefill+decode with sequential accounting,True,32663453696,221875322880,optical_resource,0.763435,1.371765,3.747037,True,True,True
deepseek_mmlu_machine_learning,previous-request OCS W=16,1,45590104,45.590104,1.7222960212483773,-72.22960212483773,6,"window_selected_counts={'random_regular_seed_27': 3, 'random_regular_seed_1': 1, 'random_regular_seed_26': 1, 'random_regular_seed_24': 1}",window_dynamic,previous non-overlapping W=16 requests select next W requests,full inference prefill+decode with sequential accounting,True,18759663616,131539206144,optical_resource,0.363922,1.405715,3.485921,True,True,True
qwen_livecodebench_execution,previous-request OCS W=16,1,455712678,455.712678,1.4181736035449108,-41.81736035449109,29,"window_selected_counts={'random_regular_seed_8': 6, 'random_regular_seed_27': 4, 'random_regular_seed_26': 3, 'random_regular_seed_4': 1, 'random_regular_seed_11': 5, 'random_regular_seed_1': 1, 'random_regular_seed_24': 1, 'random_regular_seed_14': 3, 'random_regular_seed_0': 2, 'random_regular_seed_2': 2, 'random_regular_seed_3': 1}",window_dynamic,previous non-overlapping W=16 requests select next W requests,full inference prefill+decode with sequential accounting,True,47403909120,1389438582784,optical_resource,1.317214,2.284698,5.379193,True,True,True
