workload,method,selected_candidate_name,graph_file,graph_hash,network_config_path,model_semantics,astra_command_if_native_run,dispatch_cycles,combine_cycles,total_cycles,graph_name,topology_type,link_bandwidth_gbps,per_gpu_or_server_bandwidth_tbps,node_count,gpu_count,non_gpu_switch_nodes,edge_or_circuit_count,degree_distribution_all_nodes,degree_distribution_gpu_nodes,connected_components,component_sizes,duplicate_edges,self_loops,same_optical_budget_check,average_route_hop_count,diameter,route_hop_distribution,ecmp_path_count_distribution_cap4,intermediate_gpu_appears_on_any_route,intermediate_gpu_route_pair_count
qwen_mmlu_machine_learning,EN,en_folded_clos,/Users/dfx/Python/astra-sim/results/moe_expert_trace_converter/v38_1_2_prefill_decode_figures_validation/graphs/qwen_mmlu_machine_learning__EN__en_folded_clos.json,7ecec181fc19d9ae8e85534189ab47be4746dec7109d0ea547deedebd45b4644,/Users/dfx/Python/astra-sim/results/moe_expert_trace_converter/v38_1_2_prefill_decode_figures_validation/network_configs/qwen_mmlu_machine_learning__EN__en_folded_clos.yml,native ASTRA GraphTopology packet/store-and-forward,AstraSim_Analytical_Congestion_Aware --workload-configuration=<dispatch/combine prefix> --network-configuration=/Users/dfx/Python/astra-sim/results/moe_expert_trace_converter/v38_1_2_prefill_decode_figures_validation/network_configs/qwen_mmlu_machine_learning__EN__en_folded_clos.yml,65033936,73942494,138976430,en_folded_clos_128gpu_16leaf_16spine,folded_clos_eps_reference,400,0.4,160,128,32,384,"{1: 128, 16: 16, 24: 16}",{1: 128},1,[160],0,0,False,3.59748427672956,4,"{1: 128, 2: 2944, 3: 1920, 4: 15360}","{1: 3072, 4: 17280}",False,0
qwen_mmlu_machine_learning,SON / torus,son_torus,/Users/dfx/Python/astra-sim/results/moe_expert_trace_converter/v38_1_2_prefill_decode_figures_validation/graphs/qwen_mmlu_machine_learning__SON_torus__son_torus.json,c4e5cfbd019d5a9529a3d3c3229dfbca4ba9ab035a4ab8014f11713b7272ab1b,/Users/dfx/Python/astra-sim/results/moe_expert_trace_converter/v38_1_2_prefill_decode_figures_validation/network_configs/qwen_mmlu_machine_learning__native_prefill_select_son_torus__son_torus.yml,native ASTRA GraphTopology packet/store-and-forward,AstraSim_Analytical_Congestion_Aware --workload-configuration=<dispatch/combine prefix> --network-configuration=/Users/dfx/Python/astra-sim/results/moe_expert_trace_converter/v38_1_2_prefill_decode_figures_validation/network_configs/qwen_mmlu_machine_learning__native_prefill_select_son_torus__son_torus.yml,95775725,100121335,195897060,son_torus_8x16_128gpu,static_2d_torus,400,1.6,128,128,0,256,{4: 128},{4: 128},1,[128],0,0,True,6.047244094488189,12,"{1: 512, 2: 1024, 3: 1536, 4: 1920, 5: 2048, 6: 2048, 7: 2048, 8: 1920, 9: 1536, 10: 1024, 11: 512, 12: 128}","{1: 2560, 2: 768, 3: 1024, 4: 11904}",True,15744
qwen_mmlu_machine_learning,fixed random,random_regular_seed_0,/Users/dfx/Python/astra-sim/results/moe_expert_trace_converter/v38_1_2_prefill_decode_figures_validation/graphs/qwen_mmlu_machine_learning__fixed_random__random_regular_seed_0.json,66bad8e9ac7a641b0749cd59ae1237ec3c2df767a1b8ae205e1452b14f4773df,/Users/dfx/Python/astra-sim/results/moe_expert_trace_converter/v38_1_2_prefill_decode_figures_validation/network_configs/qwen_mmlu_machine_learning__native_prefill_select_random_regular_seed_0__random_regular_seed_0.yml,native ASTRA GraphTopology packet/store-and-forward,AstraSim_Analytical_Congestion_Aware --workload-configuration=<dispatch/combine prefix> --network-configuration=/Users/dfx/Python/astra-sim/results/moe_expert_trace_converter/v38_1_2_prefill_decode_figures_validation/network_configs/qwen_mmlu_machine_learning__native_prefill_select_random_regular_seed_0__random_regular_seed_0.yml,58850615,67975185,126825800,ron_random_regular_seed_0,random_regular_degree4,400,1.6,128,128,0,256,{4: 128},{4: 128},1,[128],0,0,True,3.791830708661417,7,"{1: 512, 2: 1450, 3: 3666, 4: 6274, 5: 3992, 6: 360, 7: 2}","{1: 9804, 2: 3330, 3: 1472, 4: 1650}",True,15744
qwen_mmlu_machine_learning,fair universal static,random_regular_seed_11,/Users/dfx/Python/astra-sim/results/moe_expert_trace_converter/v38_1_2_prefill_decode_figures_validation/graphs/qwen_mmlu_machine_learning__fair_universal_static__random_regular_seed_11.json,bf8048120d2c00d0a25647cb479254cb38e3dd34754b774a69dc310eaf2e7444,/Users/dfx/Python/astra-sim/results/moe_expert_trace_converter/v38_1_2_prefill_decode_figures_validation/network_configs/qwen_mmlu_machine_learning__native_prefill_select_random_regular_seed_11__random_regular_seed_11.yml,native ASTRA GraphTopology packet/store-and-forward,AstraSim_Analytical_Congestion_Aware --workload-configuration=<dispatch/combine prefix> --network-configuration=/Users/dfx/Python/astra-sim/results/moe_expert_trace_converter/v38_1_2_prefill_decode_figures_validation/network_configs/qwen_mmlu_machine_learning__native_prefill_select_random_regular_seed_11__random_regular_seed_11.yml,56828432,69769891,126598323,ron_random_regular_seed_11,random_regular_degree4,400,1.6,128,128,0,256,{4: 128},{4: 128},1,[128],0,0,True,3.75369094488189,6,"{1: 512, 2: 1480, 3: 3744, 4: 6476, 5: 3852, 6: 192}","{1: 9844, 2: 3294, 3: 1482, 4: 1636}",True,15744
qwen_mmlu_machine_learning,prefill-informed OCS,random_regular_seed_11,/Users/dfx/Python/astra-sim/results/moe_expert_trace_converter/v38_1_2_prefill_decode_figures_validation/graphs/qwen_mmlu_machine_learning__native_decode_select_random_regular_seed_11__random_regular_seed_11.json,bf8048120d2c00d0a25647cb479254cb38e3dd34754b774a69dc310eaf2e7444,/Users/dfx/Python/astra-sim/results/moe_expert_trace_converter/v38_1_2_prefill_decode_figures_validation/network_configs/qwen_mmlu_machine_learning__native_prefill_select_random_regular_seed_11__random_regular_seed_11.yml,native ASTRA GraphTopology packet/store-and-forward,AstraSim_Analytical_Congestion_Aware --workload-configuration=<dispatch/combine prefix> --network-configuration=/Users/dfx/Python/astra-sim/results/moe_expert_trace_converter/v38_1_2_prefill_decode_figures_validation/network_configs/qwen_mmlu_machine_learning__native_prefill_select_random_regular_seed_11__random_regular_seed_11.yml,56828432,69769891,126598323,ron_random_regular_seed_11,random_regular_degree4,400,1.6,128,128,0,256,{4: 128},{4: 128},1,[128],0,0,True,3.75369094488189,6,"{1: 512, 2: 1480, 3: 3744, 4: 6476, 5: 3852, 6: 192}","{1: 9844, 2: 3294, 3: 1482, 4: 1636}",True,15744
qwen_mmlu_machine_learning,oracle,random_regular_seed_24,/Users/dfx/Python/astra-sim/results/moe_expert_trace_converter/v38_1_2_prefill_decode_figures_validation/graphs/qwen_mmlu_machine_learning__native_decode_select_random_regular_seed_24__random_regular_seed_24.json,e6adf16e6d662ab53573532f6fb9a6ddcf19509cc3adfedfff89d8b7d079e7cc,/Users/dfx/Python/astra-sim/results/moe_expert_trace_converter/v38_1_2_prefill_decode_figures_validation/network_configs/qwen_mmlu_machine_learning__native_decode_select_random_regular_seed_24__random_regular_seed_24.yml,native ASTRA GraphTopology packet/store-and-forward,AstraSim_Analytical_Congestion_Aware --workload-configuration=<dispatch/combine prefix> --network-configuration=/Users/dfx/Python/astra-sim/results/moe_expert_trace_converter/v38_1_2_prefill_decode_figures_validation/network_configs/qwen_mmlu_machine_learning__native_decode_select_random_regular_seed_24__random_regular_seed_24.yml,59308619,66958115,126266734,ron_random_regular_seed_24,random_regular_degree4,400,1.6,128,128,0,256,{4: 128},{4: 128},1,[128],0,0,True,3.781003937007874,6,"{1: 512, 2: 1456, 3: 3658, 4: 6372, 5: 3970, 6: 288}","{1: 9970, 2: 3250, 3: 1502, 4: 1534}",True,15744
deepseek_mmlu_machine_learning,EN,en_folded_clos,/Users/dfx/Python/astra-sim/results/moe_expert_trace_converter/v38_1_2_prefill_decode_figures_validation/graphs/deepseek_mmlu_machine_learning__EN__en_folded_clos.json,7ecec181fc19d9ae8e85534189ab47be4746dec7109d0ea547deedebd45b4644,/Users/dfx/Python/astra-sim/results/moe_expert_trace_converter/v38_1_2_prefill_decode_figures_validation/network_configs/deepseek_mmlu_machine_learning__EN__en_folded_clos.yml,native ASTRA GraphTopology packet/store-and-forward,AstraSim_Analytical_Congestion_Aware --workload-configuration=<dispatch/combine prefix> --network-configuration=/Users/dfx/Python/astra-sim/results/moe_expert_trace_converter/v38_1_2_prefill_decode_figures_validation/network_configs/deepseek_mmlu_machine_learning__EN__en_folded_clos.yml,38586080,40005660,78591740,en_folded_clos_128gpu_16leaf_16spine,folded_clos_eps_reference,400,0.4,160,128,32,384,"{1: 128, 16: 16, 24: 16}",{1: 128},1,[160],0,0,False,3.59748427672956,4,"{1: 128, 2: 2944, 3: 1920, 4: 15360}","{1: 3072, 4: 17280}",False,0
deepseek_mmlu_machine_learning,SON / torus,son_torus,/Users/dfx/Python/astra-sim/results/moe_expert_trace_converter/v38_1_2_prefill_decode_figures_validation/graphs/deepseek_mmlu_machine_learning__SON_torus__son_torus.json,c4e5cfbd019d5a9529a3d3c3229dfbca4ba9ab035a4ab8014f11713b7272ab1b,/Users/dfx/Python/astra-sim/results/moe_expert_trace_converter/v38_1_2_prefill_decode_figures_validation/network_configs/deepseek_mmlu_machine_learning__native_prefill_select_son_torus__son_torus.yml,native ASTRA GraphTopology packet/store-and-forward,AstraSim_Analytical_Congestion_Aware --workload-configuration=<dispatch/combine prefix> --network-configuration=/Users/dfx/Python/astra-sim/results/moe_expert_trace_converter/v38_1_2_prefill_decode_figures_validation/network_configs/deepseek_mmlu_machine_learning__native_prefill_select_son_torus__son_torus.yml,59470581,57284740,116755321,son_torus_8x16_128gpu,static_2d_torus,400,1.6,128,128,0,256,{4: 128},{4: 128},1,[128],0,0,True,6.047244094488189,12,"{1: 512, 2: 1024, 3: 1536, 4: 1920, 5: 2048, 6: 2048, 7: 2048, 8: 1920, 9: 1536, 10: 1024, 11: 512, 12: 128}","{1: 2560, 2: 768, 3: 1024, 4: 11904}",True,15744
deepseek_mmlu_machine_learning,fixed random,random_regular_seed_0,/Users/dfx/Python/astra-sim/results/moe_expert_trace_converter/v38_1_2_prefill_decode_figures_validation/graphs/deepseek_mmlu_machine_learning__fixed_random__random_regular_seed_0.json,66bad8e9ac7a641b0749cd59ae1237ec3c2df767a1b8ae205e1452b14f4773df,/Users/dfx/Python/astra-sim/results/moe_expert_trace_converter/v38_1_2_prefill_decode_figures_validation/network_configs/deepseek_mmlu_machine_learning__native_prefill_select_random_regular_seed_0__random_regular_seed_0.yml,native ASTRA GraphTopology packet/store-and-forward,AstraSim_Analytical_Congestion_Aware --workload-configuration=<dispatch/combine prefix> --network-configuration=/Users/dfx/Python/astra-sim/results/moe_expert_trace_converter/v38_1_2_prefill_decode_figures_validation/network_configs/deepseek_mmlu_machine_learning__native_prefill_select_random_regular_seed_0__random_regular_seed_0.yml,34218566,34726650,68945216,ron_random_regular_seed_0,random_regular_degree4,400,1.6,128,128,0,256,{4: 128},{4: 128},1,[128],0,0,True,3.791830708661417,7,"{1: 512, 2: 1450, 3: 3666, 4: 6274, 5: 3992, 6: 360, 7: 2}","{1: 9804, 2: 3330, 3: 1472, 4: 1650}",True,15744
deepseek_mmlu_machine_learning,fair universal static,random_regular_seed_11,/Users/dfx/Python/astra-sim/results/moe_expert_trace_converter/v38_1_2_prefill_decode_figures_validation/graphs/deepseek_mmlu_machine_learning__fair_universal_static__random_regular_seed_11.json,bf8048120d2c00d0a25647cb479254cb38e3dd34754b774a69dc310eaf2e7444,/Users/dfx/Python/astra-sim/results/moe_expert_trace_converter/v38_1_2_prefill_decode_figures_validation/network_configs/deepseek_mmlu_machine_learning__fair_universal_static__random_regular_seed_11.yml,native ASTRA GraphTopology packet/store-and-forward,AstraSim_Analytical_Congestion_Aware --workload-configuration=<dispatch/combine prefix> --network-configuration=/Users/dfx/Python/astra-sim/results/moe_expert_trace_converter/v38_1_2_prefill_decode_figures_validation/network_configs/deepseek_mmlu_machine_learning__fair_universal_static__random_regular_seed_11.yml,33161276,33786333,66947609,ron_random_regular_seed_11,random_regular_degree4,400,1.6,128,128,0,256,{4: 128},{4: 128},1,[128],0,0,True,3.75369094488189,6,"{1: 512, 2: 1480, 3: 3744, 4: 6476, 5: 3852, 6: 192}","{1: 9844, 2: 3294, 3: 1482, 4: 1636}",True,15744
