workload,method,candidate,graph_hash,model_used,selection_signal,evaluation_target,optical_reference_cycles,optical_reference_ms,dispatch_cycles,combine_cycles,dispatch_bottleneck_type,combine_bottleneck_type,max_src_out_bytes,max_dst_in_bytes,max_optical_resource_load_bytes,normalised_to_fair_universal_static,oracle_gap_vs_this_method_percent
qwen_mmlu_machine_learning,SON / torus,son_torus,c4e5cfbd019d5a9529a3d3c3229dfbca4ba9ab035a4ab8014f11713b7272ab1b,optical circuit/capacity reference,static/no target decode,decode trace[1:] only,126775016,126.775016,63489023,63285993,optical_resource,optical_resource,1137295360,1137295360,3408541017,3.4901827936033483,71.34820554863902
qwen_mmlu_machine_learning,fixed random,random_regular_seed_0,66bad8e9ac7a641b0749cd59ae1237ec3c2df767a1b8ae205e1452b14f4773df,optical circuit/capacity reference,static/no target decode,decode trace[1:] only,36548983,36.548983,18266538,18282445,optical_resource,optical_resource,1137295360,1137295360,981531312,1.0062127035369595,0.6174344167113948
qwen_mmlu_machine_learning,fair universal static,random_regular_seed_11,bf8048120d2c00d0a25647cb479254cb38e3dd34754b774a69dc310eaf2e7444,optical circuit/capacity reference,static/no target decode,decode trace[1:] only,36323317,36.323317,18198966,18124351,optical_resource,optical_resource,1137295360,1137295360,977049596,1.0,0.0
qwen_mmlu_machine_learning,prefill-informed OCS,random_regular_seed_11,bf8048120d2c00d0a25647cb479254cb38e3dd34754b774a69dc310eaf2e7444,optical circuit/capacity reference,prefill only,decode trace[1:] only,36323317,36.323317,18198966,18124351,optical_resource,optical_resource,1137295360,1137295360,977049596,1.0,0.0
qwen_mmlu_machine_learning,oracle,random_regular_seed_11,bf8048120d2c00d0a25647cb479254cb38e3dd34754b774a69dc310eaf2e7444,optical circuit/capacity reference,decode oracle upper bound,decode trace[1:] only,36323317,36.323317,18198966,18124351,optical_resource,optical_resource,1137295360,1137295360,977049596,1.0,0.0
deepseek_mmlu_machine_learning,SON / torus,son_torus,c4e5cfbd019d5a9529a3d3c3229dfbca4ba9ab035a4ab8014f11713b7272ab1b,optical circuit/capacity reference,static/no target decode,decode trace[1:] only,73912403,73.912403,36779581,37132822,optical_resource,optical_resource,506626048,506626048,1993553241,3.6563431632884806,73.06721850187985
deepseek_mmlu_machine_learning,fixed random,random_regular_seed_0,66bad8e9ac7a641b0749cd59ae1237ec3c2df767a1b8ae205e1452b14f4773df,optical circuit/capacity reference,static/no target decode,decode trace[1:] only,20949478,20.949478,10413971,10535507,optical_resource,optical_resource,506626048,506626048,565620728,1.036341365599525,4.97774693956574
deepseek_mmlu_machine_learning,fair universal static,random_regular_seed_11,bf8048120d2c00d0a25647cb479254cb38e3dd34754b774a69dc310eaf2e7444,optical circuit/capacity reference,static/no target decode,decode trace[1:] only,20214843,20.214843,10106277,10108566,optical_resource,optical_resource,506626048,506626048,542699523,1.0,1.5245085010059047
deepseek_mmlu_machine_learning,prefill-informed OCS,random_regular_seed_27,1976e348a1f7084da14c994d5af718e06ff4238c528669842f88a59559e7870e,optical circuit/capacity reference,prefill only,decode trace[1:] only,19906666,19.906666,9945208,9961458,optical_resource,optical_resource,506626048,506626048,534801743,0.9847549149899409,0.0
deepseek_mmlu_machine_learning,oracle,random_regular_seed_27,1976e348a1f7084da14c994d5af718e06ff4238c528669842f88a59559e7870e,optical circuit/capacity reference,decode oracle upper bound,decode trace[1:] only,19906666,19.906666,9945208,9961458,optical_resource,optical_resource,506626048,506626048,534801743,0.9847549149899409,0.0
qwen_livecodebench_execution,SON / torus,son_torus,c4e5cfbd019d5a9529a3d3c3229dfbca4ba9ab035a4ab8014f11713b7272ab1b,optical circuit/capacity reference,static/no target decode,decode trace[1:] only,586609165,586.609165,295536371,291072794,optical_resource,optical_resource,8087543808,8087543808,15866488153,3.505988883738431,71.97415761480644
qwen_livecodebench_execution,fixed random,random_regular_seed_0,66bad8e9ac7a641b0749cd59ae1237ec3c2df767a1b8ae205e1452b14f4773df,optical circuit/capacity reference,static/no target decode,decode trace[1:] only,182290114,182.290114,90974807,91315307,optical_resource,optical_resource,8087543808,8087543808,4902453249,1.0894939108212047,9.812904061270146
qwen_livecodebench_execution,fair universal static,random_regular_seed_11,bf8048120d2c00d0a25647cb479254cb38e3dd34754b774a69dc310eaf2e7444,optical circuit/capacity reference,static/no target decode,decode trace[1:] only,167316322,167.316322,85172882,82143440,optical_resource,optical_resource,8087543808,8087543808,4572684292,1.0,1.7417081401060228
qwen_livecodebench_execution,prefill-informed OCS,random_regular_seed_2,22090398f38a3a41f32d9023f12e58e35133ffc55af596b2423b18e4e9ecd62d,optical circuit/capacity reference,prefill only,decode trace[1:] only,168399111,168.399111,84078267,84320844,optical_resource,optical_resource,8087543808,8087543808,4526940842,1.0064715084999298,2.373498871974446
qwen_livecodebench_execution,oracle,random_regular_seed_8,d2514c6e39d92a4f70baf7f285f6c12208981ff903ccc52b8b43280853220db3,optical circuit/capacity reference,decode oracle upper bound,decode trace[1:] only,164402160,164.40216,81652946,82749214,optical_resource,optical_resource,8087543808,8087543808,4442564606,0.9825829185989398,0.0
