workload,method,candidate,model_used,timing_ms,bottleneck_type,sender_bottleneck_cycles,receiver_bottleneck_cycles,optical_resource_bottleneck_cycles,max_src_out_bytes,max_dst_in_bytes,max_resource_link_load_bytes,hot_resource_top1_share,hot_resource_top4_share,hot_resource_top16_share,byte_weighted_resource_hop_count
qwen_mmlu_machine_learning,SON / torus,son_torus,optical circuit/capacity reference,126.775016,optical_resource,3199424,5295944,63489023,687071232,1137295360,3408541017,0.006429713537911867,0.02558760145663977,0.09810921689449027,6.049047031128247
qwen_mmlu_machine_learning,fixed random,random_regular_seed_0,optical circuit/capacity reference,36.548983,optical_resource,5295944,3199424,18282445,1137295360,687071232,981531312,0.002953216607246788,0.011436664430027747,0.04406094437984908,3.7924417382941904
qwen_mmlu_machine_learning,fair universal static,random_regular_seed_11,optical circuit/capacity reference,36.323317,optical_resource,3199424,5295944,18198966,687071232,1137295360,977049596,0.00297167351551663,0.011730650768847998,0.044760206428836255,3.751678174182384
qwen_mmlu_machine_learning,prefill-informed OCS,random_regular_seed_11,optical circuit/capacity reference,36.323317,optical_resource,3199424,5295944,18198966,687071232,1137295360,977049596,0.00297167351551663,0.011730650768847998,0.044760206428836255,3.751678174182384
qwen_mmlu_machine_learning,oracle,random_regular_seed_11,optical circuit/capacity reference,36.323317,optical_resource,3199424,5295944,18198966,687071232,1137295360,977049596,0.00297167351551663,0.011730650768847998,0.044760206428836255,3.751678174182384
deepseek_mmlu_machine_learning,SON / torus,son_torus,optical circuit/capacity reference,73.912403,optical_resource,2359161,1971282,37132822,506626048,423329792,1993553241,0.006366953185644863,0.02531977819337524,0.09805707793111733,6.047240993699197
deepseek_mmlu_machine_learning,fixed random,random_regular_seed_0,optical circuit/capacity reference,20.949478,optical_resource,2359161,1971282,10535507,506626048,423329792,565620728,0.002881107732055183,0.011372695416413305,0.04350867910186064,3.7916383986998423
deepseek_mmlu_machine_learning,fair universal static,random_regular_seed_11,optical circuit/capacity reference,20.214843,optical_resource,2359161,1971282,10108566,506626048,423329792,542699523,0.002792997922572433,0.0110796611397911,0.0434417400695698,3.7527524877920357
deepseek_mmlu_machine_learning,prefill-informed OCS,random_regular_seed_27,optical circuit/capacity reference,19.906666,optical_resource,2359161,1971282,9961458,506626048,423329792,534801743,0.00275818144350351,0.010906157422735813,0.04246785328797473,3.7448211080705467
deepseek_mmlu_machine_learning,oracle,random_regular_seed_27,optical circuit/capacity reference,19.906666,optical_resource,2359161,1971282,9961458,506626048,423329792,534801743,0.00275818144350351,0.010906157422735813,0.04246785328797473,3.7448211080705467
qwen_livecodebench_execution,SON / torus,son_torus,optical circuit/capacity reference,586.609165,optical_resource,13721466,37660560,295536371,2946662400,8087543808,15866488153,0.006999518573426251,0.027050914326932542,0.10101462982466841,6.048156865806861
qwen_livecodebench_execution,fixed random,random_regular_seed_0,optical circuit/capacity reference,182.290114,optical_resource,37660560,13721466,91315307,8087543808,2946662400,4902453249,0.003447506877510015,0.012831325452277989,0.046476479309226534,3.794186938526085
qwen_livecodebench_execution,fair universal static,random_regular_seed_11,optical circuit/capacity reference,167.316322,optical_resource,13721466,37660560,85172882,2946662400,8087543808,4572684292,0.0032499135381267594,0.012447391811083753,0.04588982073406439,3.754134393987126
qwen_livecodebench_execution,prefill-informed OCS,random_regular_seed_2,optical circuit/capacity reference,168.399111,optical_resource,37660560,13721466,84320844,8087543808,2946662400,4526940842,0.0031507808813124767,0.012352173311189277,0.046081519753796554,3.833513726866275
qwen_livecodebench_execution,oracle,random_regular_seed_8,optical circuit/capacity reference,164.40216,optical_resource,37660560,13721466,82749214,8087543808,2946662400,4442564606,0.003150211759540451,0.01206862440877074,0.045831012567705755,3.762741721742267
