queue_order,diversity,job_duration_s,slow_reconfig_s,fast_reconfig_s,window_size,static_makespan_s,per_job_makespan_s,stratocs_makespan_s,oracle_makespan_s,static_speedup,per_job_speedup,oracle_loss_pct,reconfig_fraction,slow_reconfig_reduction_pct,retained_improvement_pct,verdict
clustered,low,600,1,0,2,12000.0,11670.659749999995,11667.983499999997,11650.659749999995,1.0284553453473775,1.0002293669681654,0.14869329610283089,0.0008570461211228147,50.0,97.90354818833464,drop
random_avg,low,600,1,0,2,12000.0,11670.659749999999,11670.434199999998,11650.659749999999,1.0282394084075648,1.0000193564221647,0.16972815638188088,0.0008568661736729707,50.0,97.20202581866808,drop
clustered,low,600,1,0,5,12000.0,11670.659749999995,11666.7085,11650.659749999995,1.0285677404213878,1.000338677357028,0.1377497098394409,0.00034285591347379594,80.0,96.55099863242063,conditional
random_avg,low,600,1,0,5,12000.0,11670.659749999999,11672.297649999999,11650.659749999999,1.0280752565917233,0.9998597097563288,0.18572252957607116,0.0003426917521972411,80.0,94.95108279106094,drop
clustered,low,600,1,0,10,12000.0,11670.659749999995,11671.7015,11650.659749999995,1.0281277327046106,0.9999107456612042,0.18060565196751366,0.00017135462211743507,90.0,94.54922528966996,drop
random_avg,low,600,1,0,10,12000.0,11670.659749999999,11671.7015,11650.659749999999,1.0281277327046106,0.9999107456612045,0.180605651967487,0.00017135462211743507,90.0,94.54922528967097,drop
clustered,low,600,1,0,20,12000.0,11670.659749999995,11670.701499999996,11650.659749999995,1.0282158274718967,0.9999964226657669,0.17202244705498693,8.568465228932471e-05,95.0,94.54922528967101,drop
random_avg,low,600,1,0,20,12000.0,11670.659749999999,11670.7015,11650.659749999999,1.0282158274718962,0.9999964226657668,0.17202244705499137,8.568465228932469e-05,95.0,94.54922528967076,drop
clustered,low,600,1,0.001,2,12000.0,11670.679749999996,11668.003499999997,11650.659749999995,1.0284535824830703,1.00022936657501,0.1488649602010783,0.0008587587413733637,50.0,97.90354818833464,drop
random_avg,low,600,1,0.001,2,12000.0,11670.67975,11670.454199999998,11650.659749999999,1.028237646283397,1.000019356388942,0.1698998204801283,0.0008585784346466365,50.0,97.20202581866808,drop
clustered,low,600,1,0.001,5,12000.0,11670.679749999996,11666.728500000001,11650.659749999995,1.0285659771717495,1.0003386767764413,0.13792137393768833,0.00034456960235253604,80.0,96.55099863242063,conditional
random_avg,low,600,1,0.001,5,12000.0,11670.67975,11672.317649999999,11650.659749999999,1.0280734950301273,0.9998597099966525,0.18589419367432303,0.00034440462083509257,80.0,94.95108279106094,drop
clustered,low,600,1,0.001,10,12000.0,11670.679749999996,11671.7215,11650.659749999995,1.028125970963238,0.9999107458141454,0.18077731606576108,0.00017306787177881174,90.0,94.54922528966996,drop
random_avg,low,600,1,0.001,10,12000.0,11670.67975,11671.7215,11650.659749999999,1.028125970963238,0.9999107458141457,0.18077731606573444,0.00017306787177881174,90.0,94.54922528967097,drop
clustered,low,600,1,0.001,20,12000.0,11670.679749999996,11670.721499999996,11650.659749999995,1.028214065428603,0.9999964226718974,0.17219411115323435,8.739819556143126e-05,95.0,94.54922528967101,drop
random_avg,low,600,1,0.001,20,12000.0,11670.67975,11670.7215,11650.659749999999,1.0282140654286027,0.9999964226718973,0.17219411115324768,8.739819556143123e-05,95.0,94.54922528967076,drop
clustered,low,600,1,0.01,2,12000.0,11670.859749999996,11668.183499999997,11650.659749999995,1.0284377169762544,1.0002293630366714,0.15040993708534955,0.0008741720594298163,50.0,97.90354818833464,drop
random_avg,low,600,1,0.01,2,12000.0,11670.85975,11670.634199999999,11650.659749999999,1.028221787437666,1.0000193560899424,0.17144479736438623,0.000873988519322016,50.0,97.20202581866808,drop
clustered,low,600,1,0.01,5,12000.0,11670.859749999996,11666.908500000001,11650.659749999995,1.0285501081970427,1.0003386715512508,0.13946635082193737,0.00035999253786896503,80.0,96.55099863242063,conditional
random_avg,low,600,1,0.01,5,12000.0,11670.85975,11672.49765,11650.659749999999,1.0280576412474116,0.9998597121595296,0.18743917055857207,0.0003598201744365941,80.0,94.95108279106094,drop
clustered,low,600,1,0.01,10,12000.0,11670.859749999996,11671.9015,11650.659749999995,1.0281101155625756,0.9999107471905924,0.18232229295001012,0.00018848685451980555,90.0,94.54922528966996,drop
random_avg,low,600,1,0.01,10,12000.0,11670.85975,11671.9015,11650.659749999999,1.0281101155625756,0.9999107471905927,0.18232229294998792,0.00018848685451980555,90.0,94.54922528967097,drop
clustered,low,600,1,0.01,20,12000.0,11670.859749999996,11670.901499999996,11650.659749999995,1.028198207310721,0.9999964227270703,0.1737390880374834,0.00010281982073107209,95.0,94.54922528967101,drop
random_avg,low,600,1,0.01,20,12000.0,11670.85975,11670.9015,11650.659749999999,1.0281982073107205,0.9999964227270703,0.17373908803749671,0.00010281982073107206,95.0,94.54922528967076,drop
clustered,low,600,5,0,2,12000.0,11750.659749999995,11707.983499999997,11650.659749999995,1.0249416562638651,1.0036450555298442,0.4920214926026123,0.004270590234432771,50.0,97.90354818833464,drop
random_avg,low,600,5,0,2,12000.0,11750.659749999999,11710.434199999998,11650.659749999999,1.0247271920308862,1.0034350475106546,0.513056352881649,0.004269696633462027,50.0,97.20202581866808,drop
clustered,low,600,5,0,5,12000.0,11750.659749999995,11682.7085,11650.659749999995,1.0271590701762352,1.005816395230609,0.2750809884393579,0.0017119317836270587,80.0,96.55099863242063,conditional
random_avg,low,600,5,0,5,12000.0,11750.659749999999,11688.297649999999,11650.659749999999,1.0266679340117604,1.0053354640673038,0.32305380817597484,0.0017111132233529338,80.0,94.95108279106094,conditional
clustered,low,600,5,0,10,12000.0,11750.659749999995,11679.7015,11650.659749999995,1.027423517630138,1.0060753479016562,0.24927129126746106,0.0008561862646917818,90.0,94.54922528966996,conditional
