comm_class,start_us,end_us,duration_us,ranks,label
PP,0.803000,0.895000,0.092000,0 1 2 3,PP:P2P:tag425577
PP,0.895000,0.987000,0.092000,0 1 2 3,PP:P2P:tag425579
PP,0.987000,1.079000,0.092000,2 3 4 5,PP:P2P:tag425581
PP,1.079000,1.171000,0.092000,2 3 4 5,PP:P2P:tag425583
PP,1.171000,1.263000,0.092000,4 5 6 7,PP:P2P:tag425585
PP,1.263000,1.355000,0.092000,4 5 6 7,PP:P2P:tag425586
DP,2.860000,6.803000,3.943000,6 7,DP:ALL_REDUCE:mb0.transformer.3._sharded_grad@0_X1COMM
PP,6.803000,6.895000,0.092000,4 5 6 7,PP:P2P:tag425582
DP,6.895000,88.825000,81.930000,6 7,DP:ALL_REDUCE:out_emb.w@1_X2_COMM
DP,88.825000,92.768000,3.943000,6 7,DP:ALL_REDUCE:mb1.transformer.3._sharded_grad@0_X1COMM
PP,92.768000,92.860000,0.092000,4 5 6 7,PP:P2P:tag425584
DP,92.860000,96.803000,3.943000,4 5,DP:ALL_REDUCE:mb0.transformer.2._sharded_grad@0_X1COMM
PP,96.803000,96.895000,0.092000,2 3 4 5,PP:P2P:tag425578
DP,96.895000,100.838000,3.943000,4 5,DP:ALL_REDUCE:mb1.transformer.2._sharded_grad@0_X1COMM
PP,100.838000,100.930000,0.092000,2 3 4 5,PP:P2P:tag425580
DP,100.930000,104.873000,3.943000,2 3,DP:ALL_REDUCE:mb0.transformer.1._sharded_grad@0_X1COMM
PP,104.873000,104.965000,0.092000,0 1 2 3,PP:P2P:tag425575
DP,104.965000,108.908000,3.943000,2 3,DP:ALL_REDUCE:mb1.transformer.1._sharded_grad@0_X1COMM
PP,108.908000,109.000000,0.092000,0 1 2 3,PP:P2P:tag425576
DP,109.000000,112.943000,3.943000,0 1,DP:ALL_REDUCE:mb0.transformer.0._sharded_grad@0_X1COMM
DP,112.943000,116.886000,3.943000,0 1,DP:ALL_REDUCE:mb1.transformer.0._sharded_grad@0_X1COMM
DP,116.886000,198.816000,81.930000,0 1,DP:ALL_REDUCE:in_emb.w@1_X2_COMM
