comm_class,start_us,end_us,duration_us,ranks,label
TP,0.189000,0.220000,0.031000,0 2 4 6,TP:ALL_GATHER:mb0.transformer.0.mha.qkv@0_X1COMM
TP,0.189000,0.220000,0.031000,1 3 5 7,TP:ALL_GATHER:mb0.transformer.0.mha.qkv@0_X1COMM
TP,0.220000,0.251000,0.031000,0 2 4 6,TP:ALL_GATHER:mb0.transformer.0.mha.dwqkv@0_X2_COMM
TP,0.220000,0.251000,0.031000,1 3 5 7,TP:ALL_GATHER:mb0.transformer.0.mha.dwqkv@0_X2_COMM
TP,0.251000,0.282000,0.031000,0 2 4 6,TP:ALL_GATHER:mb1.transformer.0.mha.qkv@0_X1COMM
TP,0.251000,0.282000,0.031000,1 3 5 7,TP:ALL_GATHER:mb1.transformer.0.mha.qkv@0_X1COMM
TP,0.282000,0.313000,0.031000,0 2 4 6,TP:ALL_GATHER:mb1.transformer.0.mha.dwqkv@0_X2_COMM
TP,0.282000,0.313000,0.031000,1 3 5 7,TP:ALL_GATHER:mb1.transformer.0.mha.dwqkv@0_X2_COMM
TP,0.313000,0.405000,0.092000,0 2 4 6,TP:REDUCE_SCATTER:mb0.transformer.0.mha.o@0_X1COMM
TP,0.313000,0.405000,0.092000,1 3 5 7,TP:REDUCE_SCATTER:mb0.transformer.0.mha.o@0_X1COMM
TP,0.405000,0.497000,0.092000,0 2 4 6,TP:REDUCE_SCATTER:mb1.transformer.0.mha.o@0_X1COMM
TP,0.405000,0.497000,0.092000,1 3 5 7,TP:REDUCE_SCATTER:mb1.transformer.0.mha.o@0_X1COMM
TP,0.497000,0.528000,0.031000,0 2 4 6,TP:ALL_GATHER:mb0.transformer.0.ffn.x00@0_X1COMM
TP,0.497000,0.528000,0.031000,1 3 5 7,TP:ALL_GATHER:mb0.transformer.0.ffn.x00@0_X1COMM
TP,0.528000,0.559000,0.031000,0 2 4 6,TP:ALL_GATHER:mb0.transformer.0.ffn.x01@0_X1COMM
TP,0.528000,0.559000,0.031000,1 3 5 7,TP:ALL_GATHER:mb0.transformer.0.ffn.x01@0_X1COMM
TP,0.559000,0.590000,0.031000,0 2 4 6,TP:ALL_GATHER:mb1.transformer.0.ffn.x00@0_X1COMM
TP,0.559000,0.590000,0.031000,1 3 5 7,TP:ALL_GATHER:mb1.transformer.0.ffn.x00@0_X1COMM
TP,0.590000,0.621000,0.031000,0 2 4 6,TP:ALL_GATHER:mb1.transformer.0.ffn.x01@0_X1COMM
TP,0.590000,0.621000,0.031000,1 3 5 7,TP:ALL_GATHER:mb1.transformer.0.ffn.x01@0_X1COMM
TP,0.621000,0.713000,0.092000,0 2 4 6,TP:REDUCE_SCATTER:mb0.transformer.0.ffn.xdown@0_X1COMM
TP,0.621000,0.713000,0.092000,1 3 5 7,TP:REDUCE_SCATTER:mb0.transformer.0.ffn.xdown@0_X1COMM
TP,0.713000,0.805000,0.092000,0 2 4 6,TP:REDUCE_SCATTER:mb1.transformer.0.ffn.xdown@0_X1COMM
TP,0.713000,0.805000,0.092000,1 3 5 7,TP:REDUCE_SCATTER:mb1.transformer.0.ffn.xdown@0_X1COMM
TP,0.805000,0.836000,0.031000,0 2 4 6,TP:ALL_GATHER:mb0.transformer.1.mha.qkv@0_X1COMM
TP,0.805000,0.836000,0.031000,1 3 5 7,TP:ALL_GATHER:mb0.transformer.1.mha.qkv@0_X1COMM
TP,0.836000,0.867000,0.031000,0 2 4 6,TP:ALL_GATHER:mb0.transformer.1.mha.dwqkv@0_X2_COMM
TP,0.836000,0.867000,0.031000,1 3 5 7,TP:ALL_GATHER:mb0.transformer.1.mha.dwqkv@0_X2_COMM
TP,0.867000,0.898000,0.031000,0 2 4 6,TP:ALL_GATHER:mb1.transformer.1.mha.qkv@0_X1COMM
TP,0.867000,0.898000,0.031000,1 3 5 7,TP:ALL_GATHER:mb1.transformer.1.mha.qkv@0_X1COMM
TP,0.898000,0.929000,0.031000,0 2 4 6,TP:ALL_GATHER:mb1.transformer.1.mha.dwqkv@0_X2_COMM
TP,0.898000,0.929000,0.031000,1 3 5 7,TP:ALL_GATHER:mb1.transformer.1.mha.dwqkv@0_X2_COMM
TP,0.929000,1.021000,0.092000,0 2 4 6,TP:REDUCE_SCATTER:mb0.transformer.1.mha.o@0_X1COMM
TP,0.929000,1.021000,0.092000,1 3 5 7,TP:REDUCE_SCATTER:mb0.transformer.1.mha.o@0_X1COMM
TP,1.021000,1.113000,0.092000,0 2 4 6,TP:REDUCE_SCATTER:mb1.transformer.1.mha.o@0_X1COMM
TP,1.021000,1.113000,0.092000,1 3 5 7,TP:REDUCE_SCATTER:mb1.transformer.1.mha.o@0_X1COMM
TP,1.113000,1.144000,0.031000,0 2 4 6,TP:ALL_GATHER:mb0.transformer.1.ffn.x00@0_X1COMM
TP,1.113000,1.144000,0.031000,1 3 5 7,TP:ALL_GATHER:mb0.transformer.1.ffn.x00@0_X1COMM
TP,1.144000,1.175000,0.031000,0 2 4 6,TP:ALL_GATHER:mb0.transformer.1.ffn.x01@0_X1COMM
TP,1.144000,1.175000,0.031000,1 3 5 7,TP:ALL_GATHER:mb0.transformer.1.ffn.x01@0_X1COMM
TP,1.175000,1.206000,0.031000,0 2 4 6,TP:ALL_GATHER:mb1.transformer.1.ffn.x00@0_X1COMM
TP,1.175000,1.206000,0.031000,1 3 5 7,TP:ALL_GATHER:mb1.transformer.1.ffn.x00@0_X1COMM
TP,1.206000,1.237000,0.031000,0 2 4 6,TP:ALL_GATHER:mb1.transformer.1.ffn.x01@0_X1COMM
